Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 413.68 196.96 74.40 596/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    279 Min:   5081 Act:    6851 Avg:    6687 Max:   33919
T: 1 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 2 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 ( 3905) P:80 I:200 C:    253 Min:   4932 Act:    6138 Avg:    6600 Max:   33157
T: 5 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 6 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 7 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 8 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 9 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T:10 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 413.68 196.96 74.40 715/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    438 Min:   4472 Act:    6964 Avg:    6605 Max:   42638
T: 1 ( 3902) P:80 I:200 C:    150 Min:   5118 Act:    5508 Avg:    6441 Max:   30495
T: 2 ( 3903) P:80 I:200 C:     69 Min:   5027 Act:    6110 Avg:    6477 Max:   14846
T: 3 ( 3904) P:80 I:200 C:    144 Min:   4667 Act:    5697 Avg:    6464 Max:   16287
T: 4 ( 3905) P:80 I:200 C:    413 Min:   4932 Act:    5084 Avg:    6903 Max:   83334
T: 5 ( 3906) P:80 I:200 C:    149 Min:   5409 Act:    5983 Avg:    7056 Max:   34260
T: 6 ( 3907) P:80 I:200 C:    109 Min:   5555 Act:    7464 Avg:    6814 Max:    9492
T: 7 ( 3908) P:80 I:200 C:    126 Min:   4875 Act:    4875 Avg:    6047 Max:   10409
T: 8 ( 3909) P:80 I:200 C:    157 Min:   5120 Act:   10201 Avg:    6460 Max:   10201
T: 9 ( 3910) P:80 I:200 C:    152 Min:   4908 Act:    5748 Avg:    6946 Max:   39235
T:10 ( 3911) P:80 I:200 C:    151 Min:   4828 Act:    5713 Avg:    6264 Max:   13135
T:11 ( 3912) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 413.68 196.96 74.40 659/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    490 Min:   4420 Act:    6084 Avg:    6582 Max:   42638
T: 1 ( 3902) P:80 I:200 C:    202 Min:   5089 Act:    5641 Avg:    6427 Max:   30495
T: 2 ( 3903) P:80 I:200 C:    121 Min:   4990 Act:    6002 Avg:    6488 Max:   14846
T: 3 ( 3904) P:80 I:200 C:    196 Min:   4667 Act:    7213 Avg:    6619 Max:   21157
T: 4 ( 3905) P:80 I:200 C:    465 Min:   4932 Act:    6259 Avg:    6856 Max:   83334
T: 5 ( 3906) P:80 I:200 C:    200 Min:   5329 Act:    7473 Avg:    6933 Max:   34260
T: 6 ( 3907) P:80 I:200 C:    160 Min:   5555 Act:    6199 Avg:    6797 Max:    9492
T: 7 ( 3908) P:80 I:200 C:    178 Min:   4790 Act:    7592 Avg:    6118 Max:   14434
T: 8 ( 3909) P:80 I:200 C:    209 Min:   5120 Act:    7058 Avg:    6438 Max:   10201
T: 9 ( 3910) P:80 I:200 C:    204 Min:   4908 Act:    7775 Avg:    6807 Max:   39235
T:10 ( 3911) P:80 I:200 C:    202 Min:   4767 Act:   10269 Avg:    6258 Max:   13198
T:11 ( 3912) P:80 I:200 C:     52 Min:   4950 Act:    7386 Avg:    5960 Max:    8727
[14Apolicy: fifo: loadavg: 413.68 196.96 74.40 677/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    542 Min:   4420 Act:    5536 Avg:    6519 Max:   42638
T: 1 ( 3902) P:80 I:200 C:    253 Min:   5089 Act:    6540 Avg:    6408 Max:   30495
T: 2 ( 3903) P:80 I:200 C:    172 Min:   4990 Act:    8655 Avg:    6441 Max:   14846
T: 3 ( 3904) P:80 I:200 C:    247 Min:   4667 Act:    7561 Avg:    6913 Max:   75927
T: 4 ( 3905) P:80 I:200 C:    516 Min:   4878 Act:    5535 Avg:    6851 Max:   83334
T: 5 ( 3906) P:80 I:200 C:    252 Min:   5329 Act:    5883 Avg:    6907 Max:   34260
