Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 138.09 205.17 96.78 610/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    454 Min:   4706 Act:    5251 Avg:    6575 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    144 Min:   4618 Act:    5878 Avg:    6259 Max:   12849
T: 2 ( 4955) P:80 I:200 C:    116 Min:   4759 Act:    7660 Avg:    6110 Max:    9808
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 5 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 6 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 7 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 8 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 9 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T:10 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 627/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    632 Min:   4631 Act:    5120 Avg:    6466 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    321 Min:   4462 Act:    4629 Avg:    6144 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    293 Min:   4309 Act:    5108 Avg:    5691 Max:   11212
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 5 ( 4958) P:80 I:200 C:    155 Min:   5335 Act:    6073 Avg:    7207 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    169 Min:   4925 Act:    5784 Avg:    6339 Max:   17929
T: 7 ( 4960) P:80 I:200 C:    148 Min:   5162 Act:    5698 Avg:    6633 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    174 Min:   4940 Act:    5809 Avg:    6057 Max:    9154
T: 9 ( 4962) P:80 I:200 C:    139 Min:   4890 Act:    5873 Avg:    6105 Max:   16787
T:10 ( 4963) P:80 I:200 C:    172 Min:   5132 Act:    6400 Avg:    6558 Max:   24897
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 605/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    690 Min:   4631 Act:    5633 Avg:    6508 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    379 Min:   4462 Act:    7718 Avg:    6226 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    351 Min:   4138 Act:    4710 Avg:    5661 Max:   11212
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 5 ( 4958) P:80 I:200 C:    213 Min:   5335 Act:    5996 Avg:    7199 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    227 Min:   4853 Act:    6468 Avg:    6310 Max:   17929
T: 7 ( 4960) P:80 I:200 C:    207 Min:   5162 Act:    5916 Avg:    6682 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    232 Min:   4940 Act:    7034 Avg:    6124 Max:    9154
T: 9 ( 4962) P:80 I:200 C:    198 Min:   4890 Act:    5450 Avg:    6124 Max:   16787
T:10 ( 4963) P:80 I:200 C:    230 Min:   5132 Act:    6053 Avg:    6526 Max:   24897
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 740/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    741 Min:   4631 Act:    6843 Avg:    6494 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    430 Min:   4462 Act:    6794 Avg:    6169 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    402 Min:   4138 Act:    4948 Avg:    5642 Max:   11212
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 5 ( 4958) P:80 I:200 C:    264 Min:   5335 Act:    6975 Avg:    7171 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    278 Min:   4853 Act:    5433 Avg:    6358 Max:   17929
T: 7 ( 4960) P:80 I:200 C:    257 Min:   5162 Act:    6470 Avg:    6702 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    283 Min:   4940 Act:   10338 Avg:    6108 Max:   10338
T: 9 ( 4962) P:80 I:200 C:    248 Min:   4709 Act:    5412 Avg:    6129 Max:   16787
T:10 ( 4963) P:80 I:200 C:    281 Min:   5132 Act:    6230 Avg:    6565 Max:   24897
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 737/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    822 Min:   4631 Act:    6101 Avg:    6505 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    512 Min:   4462 Act:    5826 Avg:    6103 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    483 Min:   4138 Act:    6710 Avg:    5587 Max:   11212
T: 3 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
T: 4 ( 4957) P:80 I:200 C:     23 Min:   5015 Act:    8452 Avg:    6320 Max:    8452
T: 5 ( 4958) P:80 I:200 C:    345 Min:   5062 Act:    7425 Avg:    7136 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    359 Min:   4675 Act:    5843 Avg:    6382 Max:   17929
T: 7 ( 4960) P:80 I:200 C:    339 Min:   5128 Act:    7165 Avg:    6699 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    365 Min:   4940 Act:    5442 Avg:    6191 Max:   11665
T: 9 ( 4962) P:80 I:200 C:    330 Min:   4709 Act:    5446 Avg:    6132 Max:   16787
T:10 ( 4963) P:80 I:200 C:    362 Min:   5132 Act:    6760 Avg:    6678 Max:   47985
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 752/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    873 Min:   4631 Act:    5968 Avg:    6485 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    562 Min:   4462 Act:    4876 Avg:    6071 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    534 Min:   4138 Act:    5175 Avg:    5581 Max:   11212
T: 3 ( 4956) P:80 I:200 C:     49 Min:   4140 Act:    5808 Avg:    5265 Max:    7215
T: 4 ( 4957) P:80 I:200 C:     73 Min:   5015 Act:    5709 Avg:    6200 Max:    8452
T: 5 ( 4958) P:80 I:200 C:    396 Min:   5033 Act:    6330 Avg:    7138 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    410 Min:   4675 Act:    5991 Avg:    6560 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    390 Min:   5001 Act:    7623 Avg:    6735 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    415 Min:   4940 Act:    6457 Avg:    6218 Max:   11665
