1747653534 LOGGER STARTED
Sample #1, Timestamp: 1747653534, CPU_Temperature: 49°C, cpu0: 3902014kHz, cpu1: 2200000kHz, cpu10: 2200000kHz, cpu11: 2200000kHz, cpu12: 3400000kHz, cpu13: 2200000kHz, cpu14: 2200000kHz, cpu15: 3400000kHz, cpu16: 3900085kHz, cpu17: 3842068kHz, cpu18: 4562275kHz, cpu19: 3833975kHz, cpu2: 2200000kHz, cpu20: 3873398kHz, cpu21: 4486294kHz, cpu22: 3894948kHz, cpu23: 3873132kHz, cpu24: 2867851kHz, cpu25: 4116149kHz, cpu26: 4537434kHz, cpu27: 3667855kHz, cpu28: 4596452kHz, cpu29: 4282320kHz, cpu3: 3855266kHz, cpu30: 4804447kHz, cpu31: 4111473kHz, cpu4: 3849966kHz, cpu5: 4124476kHz, cpu6: 3857370kHz, cpu7: 3775894kHz, cpu8: 3751256kHz, cpu9: 3639778kHz, 
Sample #2, Timestamp: 1747653534, CPU_Temperature: 49°C, cpu0: 4422929kHz, cpu1: 4420187kHz, cpu10: 4425951kHz, cpu11: 4422959kHz, cpu12: 4442919kHz, cpu13: 4382570kHz, cpu14: 4382889kHz, cpu15: 4373064kHz, cpu16: 4373043kHz, cpu17: 4513207kHz, cpu18: 4410446kHz, cpu19: 4398512kHz, cpu2: 4504968kHz, cpu20: 4504978kHz, cpu21: 4352960kHz, cpu22: 4352949kHz, cpu23: 4335574kHz, cpu24: 4354285kHz, cpu25: 4349219kHz, cpu26: 4360468kHz, cpu27: 4489658kHz, cpu28: 4329635kHz, cpu29: 4348089kHz, cpu3: 4335583kHz, cpu30: 4366744kHz, cpu31: 4348186kHz, cpu4: 4329326kHz, cpu5: 4323063kHz, cpu6: 4358513kHz, cpu7: 4411144kHz, cpu8: 4324330kHz, cpu9: 4332737kHz, 
Sample #3, Timestamp: 1747653535, CPU_Temperature: 54°C, cpu0: 4317009kHz, cpu1: 4319067kHz, cpu10: 4391830kHz, cpu11: 4329313kHz, cpu12: 4349945kHz, cpu13: 4317011kHz, cpu14: 4312843kHz, cpu15: 4317012kHz, cpu16: 4303471kHz, cpu17: 4317007kHz, cpu18: 4304336kHz, cpu19: 4317013kHz, cpu2: 4298153kHz, cpu20: 4317008kHz, cpu21: 4298196kHz, cpu22: 4292067kHz, cpu23: 4310624kHz, cpu24: 4292054kHz, cpu25: 4300070kHz, cpu26: 4285677kHz, cpu27: 4279513kHz, cpu28: 4279749kHz, cpu29: 4298795kHz, cpu3: 4304344kHz, cpu30: 4304363kHz, cpu31: 4292054kHz, cpu4: 4340277kHz, cpu5: 4292048kHz, cpu6: 4285633kHz, cpu7: 4317002kHz, cpu8: 4307518kHz, cpu9: 4301219kHz, 
Sample #4, Timestamp: 1747653536, CPU_Temperature: 60°C, cpu0: 4291751kHz, cpu1: 4279391kHz, cpu10: 4278318kHz, cpu11: 4274293kHz, cpu12: 4284806kHz, cpu13: 4274104kHz, cpu14: 4274097kHz, cpu15: 4304344kHz, cpu16: 4292048kHz, cpu17: 4292060kHz, cpu18: 4292044kHz, cpu19: 4317008kHz, cpu2: 4267095kHz, cpu20: 4317013kHz, cpu21: 4295800kHz, cpu22: 4304183kHz, cpu23: 4313466kHz, cpu24: 4301498kHz, cpu25: 4275958kHz, cpu26: 4294573kHz, cpu27: 4298167kHz, cpu28: 4302001kHz, cpu29: 4292045kHz, cpu3: 4314989kHz, cpu30: 4318607kHz, cpu31: 4284228kHz, cpu4: 4297040kHz, cpu5: 4364806kHz, cpu6: 4292068kHz, cpu7: 4292056kHz, cpu8: 4311543kHz, cpu9: 4311559kHz, 
Sample #5, Timestamp: 1747653537, CPU_Temperature: 61°C, cpu0: 4292050kHz, cpu1: 4310617kHz, cpu10: 4300431kHz, cpu11: 4317007kHz, cpu12: 4313109kHz, cpu13: 4292056kHz, cpu14: 4292055kHz, cpu15: 4288264kHz, cpu16: 4292930kHz, cpu17: 4292949kHz, cpu18: 4317004kHz, cpu19: 4295335kHz, cpu2: 4292045kHz, cpu20: 4292048kHz, cpu21: 4279008kHz, cpu22: 4310626kHz, cpu23: 4310636kHz, cpu24: 4294452kHz, cpu25: 4285672kHz, cpu26: 4292046kHz, cpu27: 4279397kHz, cpu28: 4298104kHz, cpu29: 4333610kHz, cpu3: 4289580kHz, cpu30: 4302545kHz, cpu31: 4302557kHz, cpu4: 4393316kHz, cpu5: 4321655kHz, cpu6: 4321641kHz, cpu7: 4290663kHz, cpu8: 4285704kHz, cpu9: 4292052kHz, 
Sample #6, Timestamp: 1747653537, CPU_Temperature: 62°C, cpu0: 4298195kHz, cpu1: 4324568kHz, cpu10: 4285656kHz, cpu11: 4311943kHz, cpu12: 4311947kHz, cpu13: 4298198kHz, cpu14: 4298173kHz, cpu15: 4302247kHz, cpu16: 4298165kHz, cpu17: 4294200kHz, cpu18: 4294193kHz, cpu19: 4283277kHz, cpu2: 4283257kHz, cpu20: 4283275kHz, cpu21: 4304286kHz, cpu22: 4307237kHz, cpu23: 4310606kHz, cpu24: 4318042kHz, cpu25: 4300320kHz, cpu26: 4296420kHz, cpu27: 4296415kHz, cpu28: 4292046kHz, cpu29: 4298152kHz, cpu3: 4298156kHz, cpu30: 4290406kHz, cpu31: 4290411kHz, cpu4: 4281109kHz, cpu5: 4317008kHz, cpu6: 4317007kHz, cpu7: 4310029kHz, cpu8: 4323102kHz, cpu9: 4323114kHz, 
Sample #7, Timestamp: 1747653538, CPU_Temperature: 62°C, cpu0: 4309312kHz, cpu1: 4304281kHz, cpu10: 4298137kHz, cpu11: 4309090kHz, cpu12: 4309091kHz, cpu13: 4310655kHz, cpu14: 4321463kHz, cpu15: 4304385kHz, cpu16: 4346227kHz, cpu17: 4319495kHz, cpu18: 4320380kHz, cpu19: 4335557kHz, cpu2: 4335558kHz, cpu20: 4314049kHz, cpu21: 4294859kHz, cpu22: 4317013kHz, cpu23: 4317013kHz, cpu24: 4311819kHz, cpu25: 4311820kHz, cpu26: 4309407kHz, cpu27: 4317012kHz, cpu28: 4333497kHz, cpu29: 4317008kHz, cpu3: 4317014kHz, cpu30: 4331254kHz, cpu31: 4337036kHz, cpu4: 4352883kHz, cpu5: 4357607kHz, cpu6: 4430761kHz, cpu7: 4316016kHz, cpu8: 4323089kHz, cpu9: 4329049kHz, 
Sample #8, Timestamp: 1747653539, CPU_Temperature: 62°C, cpu0: 4337001kHz, cpu1: 4273145kHz, cpu10: 4310604kHz, cpu11: 4323151kHz, cpu12: 4323156kHz, cpu13: 4336695kHz, cpu14: 4341971kHz, cpu15: 4385490kHz, cpu16: 4385475kHz, cpu17: 4313713kHz, cpu18: 4289423kHz, cpu19: 4285646kHz, cpu2: 4308381kHz, cpu20: 4292057kHz, cpu21: 4287876kHz, cpu22: 4312766kHz, cpu23: 4273186kHz, cpu24: 4273192kHz, cpu25: 4338762kHz, cpu26: 4302976kHz, cpu27: 4305667kHz, cpu28: 4310685kHz, cpu29: 4303163kHz, cpu3: 4280627kHz, cpu30: 4304921kHz, cpu31: 4304930kHz, cpu4: 4336047kHz, cpu5: 4304345kHz, cpu6: 4310633kHz, cpu7: 4317014kHz, cpu8: 4323156kHz, cpu9: 4323171kHz, 
Sample #9, Timestamp: 1747653539, CPU_Temperature: 62°C, cpu0: 4331105kHz, cpu1: 4346399kHz, cpu10: 4317002kHz, cpu11: 4313485kHz, cpu12: 4317005kHz, cpu13: 4295004kHz, cpu14: 4370005kHz, cpu15: 4323102kHz, cpu16: 4326449kHz, cpu17: 4298176kHz, cpu18: 4292051kHz, cpu19: 4329495kHz, cpu2: 4361622kHz, cpu20: 4335584kHz, cpu21: 4320666kHz, cpu22: 4292053kHz, cpu23: 4281774kHz, cpu24: 4279409kHz, cpu25: 4279412kHz, cpu26: 4321456kHz, cpu27: 4315435kHz, cpu28: 4362047kHz, cpu29: 4316997kHz, cpu3: 4316715kHz, cpu30: 4347436kHz, cpu31: 4347448kHz, cpu4: 4347170kHz, cpu5: 4305715kHz, cpu6: 4320489kHz, cpu7: 4481867kHz, cpu8: 4285701kHz, cpu9: 4304340kHz, 
Sample #10, Timestamp: 1747653540, CPU_Temperature: 62°C, cpu0: 4331375kHz, cpu1: 4356411kHz, cpu10: 4385297kHz, cpu11: 4287300kHz, cpu12: 4290476kHz, cpu13: 4324538kHz, cpu14: 4305511kHz, cpu15: 4292049kHz, cpu16: 4291171kHz, cpu17: 4368019kHz, cpu18: 4323091kHz, cpu19: 4329334kHz, cpu2: 4323005kHz, cpu20: 4341956kHz, cpu21: 4336103kHz, cpu22: 4286105kHz, cpu23: 4323148kHz, cpu24: 4305297kHz, cpu25: 4341717kHz, cpu26: 4299504kHz, cpu27: 4314164kHz, cpu28: 4314167kHz, cpu29: 4338748kHz, cpu3: 4335622kHz, cpu30: 4323157kHz, cpu31: 4317001kHz, cpu4: 4298189kHz, cpu5: 4380647kHz, cpu6: 4298168kHz, cpu7: 4366978kHz, cpu8: 4317004kHz, cpu9: 4307467kHz, 
Sample #11, Timestamp: 1747653540, CPU_Temperature: 63°C, cpu0: 4292055kHz, cpu1: 4305772kHz, cpu10: 4292054kHz, cpu11: 4292051kHz, cpu12: 4330131kHz, cpu13: 4364169kHz, cpu14: 4335627kHz, cpu15: 4317016kHz, cpu16: 4304421kHz, cpu17: 4298276kHz, cpu18: 4298271kHz, cpu19: 4298259kHz, cpu2: 4298259kHz, cpu20: 4323147kHz, cpu21: 4336073kHz, cpu22: 4298669kHz, cpu23: 4298675kHz, cpu24: 4310191kHz, cpu25: 4298107kHz, cpu26: 4347383kHz, cpu27: 4347392kHz, cpu28: 4330168kHz, cpu29: 4330172kHz, cpu3: 4299014kHz, cpu30: 4311593kHz, cpu31: 4389368kHz, cpu4: 4389360kHz, cpu5: 4301233kHz, cpu6: 4301242kHz, cpu7: 4329352kHz, cpu8: 4366058kHz, cpu9: 4314843kHz, 
