Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

11:39:29      UID      TGID       TID   cswch/s nvcswch/s  Command
11:39:30        0        15         -     13.08      0.00  rcu_preempt
11:39:30        0         -        15     13.08      0.00  |__rcu_preempt
11:39:30        0        17         -      8.41      0.00  kworker/0:1-events_freezable
11:39:30        0         -        17      8.41      0.00  |__kworker/0:1-events_freezable
11:39:30        0       111         -      4.67      0.00  ksoftirqd/19
11:39:30        0         -       111      4.67      0.00  |__ksoftirqd/19
11:39:30        0       215         -      1.87      0.00  kcompactd0
11:39:30        0         -       215      1.87      0.00  |__kcompactd0
11:39:30        0       240         -      0.93      0.00  kworker/2:1-mm_percpu_wq
11:39:30        0         -       240      0.93      0.00  |__kworker/2:1-mm_percpu_wq
11:39:30        0       248         -      0.93      0.00  kworker/10:1-mm_percpu_wq
11:39:30        0         -       248      0.93      0.00  |__kworker/10:1-mm_percpu_wq
11:39:30        0       249         -      0.93      0.00  kworker/11:1-mm_percpu_wq
11:39:30        0         -       249      0.93      0.00  |__kworker/11:1-mm_percpu_wq
11:39:30        0       251         -      0.93      0.00  kworker/14:1-mm_percpu_wq
11:39:30        0         -       251      0.93      0.00  |__kworker/14:1-mm_percpu_wq
11:39:30        0       252         -      0.93      0.00  kworker/15:1-mm_percpu_wq
11:39:30        0         -       252      0.93      0.00  |__kworker/15:1-mm_percpu_wq
11:39:30        0       258         -      0.93      0.00  kworker/23:1-mm_percpu_wq
11:39:30        0         -       258      0.93      0.00  |__kworker/23:1-mm_percpu_wq
11:39:30        0       259         -      0.93      0.00  kworker/24:1-mm_percpu_wq
11:39:30        0         -       259      0.93      0.00  |__kworker/24:1-mm_percpu_wq
11:39:30        0       263         -      0.93      0.00  kworker/29:1-mm_percpu_wq
11:39:30        0         -       263      0.93      0.00  |__kworker/29:1-mm_percpu_wq
11:39:30        0       265         -      0.93      0.00  kworker/31:1-mm_percpu_wq
11:39:30        0         -       265      0.93      0.00  |__kworker/31:1-mm_percpu_wq
11:39:30        0       350         -      0.93      0.00  kworker/26:2-mm_percpu_wq
11:39:30        0         -       350      0.93      0.00  |__kworker/26:2-mm_percpu_wq
