1747349641 LOGGER STARTED
Sample #1, Timestamp: 1747349641, CPU_Temperature: 48°C, cpu0: 1550000kHz, cpu1: 2406467kHz, cpu10: 1550000kHz, cpu11: 1550000kHz, cpu2: 1550000kHz, cpu3: 3150418kHz, cpu4: 3892113kHz, cpu5: 3892234kHz, cpu6: 1350113kHz, cpu7: 3836611kHz, cpu8: 1555275kHz, cpu9: 3892048kHz, 
Sample #2, Timestamp: 1747349642, CPU_Temperature: 48°C, cpu0: 3667621kHz, cpu1: 3667612kHz, cpu10: 3667615kHz, cpu11: 3667611kHz, cpu2: 3667625kHz, cpu3: 3667317kHz, cpu4: 3667164kHz, cpu5: 3667276kHz, cpu6: 3667615kHz, cpu7: 3667614kHz, cpu8: 3667618kHz, cpu9: 3640035kHz, 
Sample #3, Timestamp: 1747349644, CPU_Temperature: 60°C, cpu0: 3649459kHz, cpu1: 3639786kHz, cpu10: 3642073kHz, cpu11: 3647089kHz, cpu2: 3642676kHz, cpu3: 3637169kHz, cpu4: 3642614kHz, cpu5: 3642658kHz, cpu6: 3642672kHz, cpu7: 3642671kHz, cpu8: 3642671kHz, cpu9: 3642238kHz, 
Sample #4, Timestamp: 1747349649, CPU_Temperature: 60°C, cpu0: 3642669kHz, cpu1: 3642655kHz, cpu10: 3641967kHz, cpu11: 3645568kHz, cpu2: 3642670kHz, cpu3: 3638481kHz, cpu4: 3642633kHz, cpu5: 3646554kHz, cpu6: 3646595kHz, cpu7: 3642665kHz, cpu8: 3642667kHz, cpu9: 3642519kHz, 
Sample #5, Timestamp: 1747349650, CPU_Temperature: 61°C, cpu0: 3642559kHz, cpu1: 3642670kHz, cpu10: 3642426kHz, cpu11: 3642677kHz, cpu2: 3642664kHz, cpu3: 3642668kHz, cpu4: 3642504kHz, cpu5: 3651105kHz, cpu6: 3667617kHz, cpu7: 3642671kHz, cpu8: 3642670kHz, cpu9: 3642540kHz, 
Sample #6, Timestamp: 1747349651, CPU_Temperature: 61°C, cpu0: 3642661kHz, cpu1: 3642676kHz, cpu10: 3642673kHz, cpu11: 3643872kHz, cpu2: 3642669kHz, cpu3: 3642559kHz, cpu4: 3641624kHz, cpu5: 3642664kHz, cpu6: 3642663kHz, cpu7: 3642668kHz, cpu8: 3646848kHz, cpu9: 3641067kHz, 
Sample #7, Timestamp: 1747349652, CPU_Temperature: 61°C, cpu0: 3646190kHz, cpu1: 3652998kHz, cpu10: 3642673kHz, cpu11: 3642672kHz, cpu2: 3646245kHz, cpu3: 3642664kHz, cpu4: 3642665kHz, cpu5: 3642668kHz, cpu6: 3642668kHz, cpu7: 3642657kHz, cpu8: 3649839kHz, cpu9: 3642671kHz, 
Sample #8, Timestamp: 1747349653, CPU_Temperature: 61°C, cpu0: 3642667kHz, cpu1: 3642670kHz, cpu10: 3642666kHz, cpu11: 3642678kHz, cpu2: 3642671kHz, cpu3: 3642666kHz, cpu4: 3642670kHz, cpu5: 3642669kHz, cpu6: 3642666kHz, cpu7: 3642663kHz, cpu8: 3642655kHz, cpu9: 3652021kHz, 
Sample #9, Timestamp: 1747349654, CPU_Temperature: 61°C, cpu0: 3642658kHz, cpu1: 3642662kHz, cpu10: 3642322kHz, cpu11: 3642669kHz, cpu2: 3642658kHz, cpu3: 3642662kHz, cpu4: 3642673kHz, cpu5: 3642671kHz, cpu6: 3642660kHz, cpu7: 3645358kHz, cpu8: 3642669kHz, cpu9: 3642671kHz, 
Sample #10, Timestamp: 1747349655, CPU_Temperature: 61°C, cpu0: 3642670kHz, cpu1: 3642677kHz, cpu10: 3642661kHz, cpu11: 3642678kHz, cpu2: 3642661kHz, cpu3: 3641944kHz, cpu4: 3642290kHz, cpu5: 3642677kHz, cpu6: 3642657kHz, cpu7: 3642669kHz, cpu8: 3642665kHz, cpu9: 3642449kHz, 
Sample #11, Timestamp: 1747349656, CPU_Temperature: 61°C, cpu0: 3642669kHz, cpu1: 3642665kHz, cpu10: 3642513kHz, cpu11: 3642663kHz, cpu2: 3642675kHz, cpu3: 3642632kHz, cpu4: 3642431kHz, cpu5: 3642673kHz, cpu6: 3642661kHz, cpu7: 3642662kHz, cpu8: 3642658kHz, cpu9: 3642664kHz, 
