1747353586 LOGGER STARTED
Sample #1, Timestamp: 1747353586, CPU_Temperature: 54°C, cpu0: 2296184kHz, cpu1: 1005000kHz, cpu10: 400000kHz, cpu11: 400000kHz, cpu12: 400000kHz, cpu13: 400000kHz, cpu14: 400000kHz, cpu15: 651041kHz, cpu2: 399322kHz, cpu3: 400000kHz, cpu4: 1834528kHz, cpu5: 400000kHz, cpu6: 2044102kHz, cpu7: 400000kHz, cpu8: 400000kHz, cpu9: 400000kHz, 
Sample #2, Timestamp: 1747353586, CPU_Temperature: 54°C, cpu0: 3799990kHz, cpu1: 3800000kHz, cpu10: 2900016kHz, cpu11: 2900005kHz, cpu12: 2901526kHz, cpu13: 2799990kHz, cpu14: 2800009kHz, cpu15: 2800007kHz, cpu2: 3800000kHz, cpu3: 3800000kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3799990kHz, cpu7: 3800000kHz, cpu8: 2800007kHz, cpu9: 2799968kHz, 
Sample #3, Timestamp: 1747353587, CPU_Temperature: 85°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2800022kHz, cpu11: 2800001kHz, cpu12: 2800002kHz, cpu13: 2800020kHz, cpu14: 2800010kHz, cpu15: 2799998kHz, cpu2: 3800009kHz, cpu3: 3800000kHz, cpu4: 3799990kHz, cpu5: 3799990kHz, cpu6: 3799990kHz, cpu7: 3799990kHz, cpu8: 2800010kHz, cpu9: 2799988kHz, 
Sample #4, Timestamp: 1747353588, CPU_Temperature: 85°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2799994kHz, cpu11: 2800022kHz, cpu12: 2800000kHz, cpu13: 2399994kHz, cpu14: 1500006kHz, cpu15: 1399991kHz, cpu2: 1300000kHz, cpu3: 988361kHz, cpu4: 917538kHz, cpu5: 800004kHz, cpu6: 800002kHz, cpu7: 800004kHz, cpu8: 648906kHz, cpu9: 686249kHz, 
Sample #5, Timestamp: 1747353589, CPU_Temperature: 57°C, cpu0: 691087kHz, cpu1: 700001kHz, cpu10: 599993kHz, cpu11: 600004kHz, cpu12: 600001kHz, cpu13: 700004kHz, cpu14: 679777kHz, cpu15: 660147kHz, cpu2: 900011kHz, cpu3: 889433kHz, cpu4: 799995kHz, cpu5: 850316kHz, cpu6: 799997kHz, cpu7: 845401kHz, cpu8: 677911kHz, cpu9: 678638kHz, 
Sample #6, Timestamp: 1747353590, CPU_Temperature: 57°C, cpu0: 892822kHz, cpu1: 828974kHz, cpu10: 689295kHz, cpu11: 713903kHz, cpu12: 799994kHz, cpu13: 799996kHz, cpu14: 999999kHz, cpu15: 999998kHz, cpu2: 1200000kHz, cpu3: 1199993kHz, cpu4: 1200000kHz, cpu5: 1300000kHz, cpu6: 1299993kHz, cpu7: 1299993kHz, cpu8: 1200003kHz, cpu9: 1199994kHz, 
Sample #7, Timestamp: 1747353591, CPU_Temperature: 57°C, cpu0: 1700000kHz, cpu1: 1739986kHz, cpu10: 1499991kHz, cpu11: 1500010kHz, cpu12: 1500003kHz, cpu13: 1499997kHz, cpu14: 1500008kHz, cpu15: 1500007kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1800009kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1499993kHz, cpu9: 1500005kHz, 
Sample #8, Timestamp: 1747353591, CPU_Temperature: 61°C, cpu0: 1842848kHz, cpu1: 1882916kHz, cpu10: 1499991kHz, cpu11: 1499994kHz, cpu12: 1500008kHz, cpu13: 1499992kHz, cpu14: 1500005kHz, cpu15: 1500010kHz, cpu2: 1880362kHz, cpu3: 1866701kHz, cpu4: 1848836kHz, cpu5: 1859038kHz, cpu6: 1885440kHz, cpu7: 1880469kHz, cpu8: 1500000kHz, cpu9: 1500004kHz, 
Sample #9, Timestamp: 1747353592, CPU_Temperature: 61°C, cpu0: 1799995kHz, cpu1: 1834381kHz, cpu10: 1499991kHz, cpu11: 1499994kHz, cpu12: 1499995kHz, cpu13: 1499996kHz, cpu14: 1500015kHz, cpu15: 1500001kHz, cpu2: 1799995kHz, cpu3: 1861920kHz, cpu4: 1818858kHz, cpu5: 1806883kHz, cpu6: 1891773kHz, cpu7: 1814181kHz, cpu8: 1509363kHz, cpu9: 1540258kHz, 
Sample #10, Timestamp: 1747353592, CPU_Temperature: 61°C, cpu0: 1854132kHz, cpu1: 1824722kHz, cpu10: 1500009kHz, cpu11: 1499995kHz, cpu12: 1499987kHz, cpu13: 1499998kHz, cpu14: 1500008kHz, cpu15: 1499998kHz, cpu2: 1800000kHz, cpu3: 1799990kHz, cpu4: 1828840kHz, cpu5: 1880927kHz, cpu6: 1900000kHz, cpu7: 1700000kHz, cpu8: 1400012kHz, cpu9: 1400005kHz, 
Sample #11, Timestamp: 1747353593, CPU_Temperature: 59°C, cpu0: 1100002kHz, cpu1: 1000000kHz, cpu10: 899999kHz, cpu11: 899996kHz, cpu12: 800003kHz, cpu13: 800002kHz, cpu14: 799997kHz, cpu15: 799995kHz, cpu2: 899993kHz, cpu3: 900000kHz, cpu4: 900000kHz, cpu5: 899993kHz, cpu6: 899993kHz, cpu7: 900002kHz, cpu8: 799996kHz, cpu9: 800004kHz, 
