Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

10:08:55      UID      TGID       TID   cswch/s nvcswch/s  Command
10:08:56        0        18         -      9.43      0.00  rcu_preempt
10:08:56        0         -        18      9.43      0.00  |__rcu_preempt
10:08:56        0        58         -      1.89      0.00  kworker/6:0-mm_percpu_wq
10:08:56        0         -        58      1.89      0.00  |__kworker/6:0-mm_percpu_wq
10:08:56        0       173         -      1.89      0.00  kworker/25:0-mm_percpu_wq
10:08:56        0         -       173      1.89      0.00  |__kworker/25:0-mm_percpu_wq
10:08:56        0       209         -      1.89      0.00  kworker/31:0-mm_percpu_wq
10:08:56        0         -       209      1.89      0.00  |__kworker/31:0-mm_percpu_wq
10:08:56        0       253         -      1.89      0.00  kcompactd0
10:08:56        0         -       253      1.89      0.00  |__kcompactd0
10:08:56        0       255         -      2.83      0.00  khugepaged
10:08:56        0         -       255      2.83      0.00  |__khugepaged
10:08:56        0       262         -      1.89      0.00  kworker/21:1-mm_percpu_wq
10:08:56        0         -       262      1.89      0.00  |__kworker/21:1-mm_percpu_wq
10:08:56        0       273         -      1.89      0.00  kworker/30:1-mm_percpu_wq
10:08:56        0         -       273      1.89      0.00  |__kworker/30:1-mm_percpu_wq
10:08:56        0       288         -      1.89      0.00  kworker/3:1-mm_percpu_wq
10:08:56        0         -       288      1.89      0.00  |__kworker/3:1-mm_percpu_wq
10:08:56        0       413         -      1.89      0.00  kworker/28:1-mm_percpu_wq
10:08:56        0         -       413      1.89      0.00  |__kworker/28:1-mm_percpu_wq
10:08:56        0       414         -      1.89      0.00  kworker/27:1-mm_percpu_wq
10:08:56        0         -       414      1.89      0.00  |__kworker/27:1-mm_percpu_wq
10:08:56        0       415         -      1.89      0.00  kworker/26:1-mm_percpu_wq
10:08:56        0         -       415      1.89      0.00  |__kworker/26:1-mm_percpu_wq
10:08:56        0       416         -      1.89      0.00  kworker/29:1-mm_percpu_wq
10:08:56        0         -       416      1.89      0.00  |__kworker/29:1-mm_percpu_wq
10:08:56        0       419         -      1.89      0.00  kworker/24:1-mm_percpu_wq
10:08:56        0         -       419      1.89      0.00  |__kworker/24:1-mm_percpu_wq
10:08:56        0       421         -      1.89      0.00  kworker/19:1-mm_percpu_wq
10:08:56        0         -       421      1.89      0.00  |__kworker/19:1-mm_percpu_wq
10:08:56        0       423         -      1.89      0.00  kworker/20:2-mm_percpu_wq
10:08:56        0         -       423      1.89      0.00  |__kworker/20:2-mm_percpu_wq
10:08:56        0       450         -      1.89      0.00  kworker/15:1-mm_percpu_wq
10:08:56        0         -       450      1.89      0.00  |__kworker/15:1-mm_percpu_wq
10:08:56        0       459         -      1.89      0.00  kworker/14:1-mm_percpu_wq
10:08:56        0         -       459      1.89      0.00  |__kworker/14:1-mm_percpu_wq
10:08:56        0       484         -      1.89      0.00  kworker/2:2-mm_percpu_wq
10:08:56        0         -       484      1.89      0.00  |__kworker/2:2-mm_percpu_wq
10:08:56        0       485         -      2.83      0.00  kworker/5:1-events_freezable
10:08:56        0         -       485      2.83      0.00  |__kworker/5:1-events_freezable
10:08:56        0       489         -      1.89      0.00  kworker/12:1-mm_percpu_wq
10:08:56        0         -       489      1.89      0.00  |__kworker/12:1-mm_percpu_wq
10:08:56        0       507         -      2.83      0.00  kworker/9:1-mm_percpu_wq
10:08:56        0         -       507      2.83      0.00  |__kworker/9:1-mm_percpu_wq
10:08:56        0       509         -      2.83      0.00  kworker/13:1-mm_percpu_wq
10:08:56        0         -       509      2.83      0.00  |__kworker/13:1-mm_percpu_wq
10:08:56        0       533         -      7.55      0.00  kworker/11:1-mm_percpu_wq
10:08:56        0         -       533      7.55      0.00  |__kworker/11:1-mm_percpu_wq
10:08:56        0       534         -      2.83      0.00  kworker/10:1-mm_percpu_wq
10:08:56        0         -       534      2.83      0.00  |__kworker/10:1-mm_percpu_wq
10:08:56        0       600         -      0.94      0.00  kworker/23:1-mm_percpu_wq
10:08:56        0         -       600      0.94      0.00  |__kworker/23:1-mm_percpu_wq
10:08:56        0       661         -      1.89      0.94  kworker/18:2-mm_percpu_wq
10:08:56        0         -       661      1.89      0.94  |__kworker/18:2-mm_percpu_wq
10:08:56        0       672         -      1.89      0.00  kworker/1:2-mm_percpu_wq
10:08:56        0         -       672      1.89      0.00  |__kworker/1:2-mm_percpu_wq
