=== Scheduler Starvation Test ===
# Logical CPUs: 32
# CLK_TCK: 100

# Starting high-priority load (nice -10)

# Starting victim group (nice 19)
Running in process mode with 64 groups using 8 file descriptors each (== 512 tasks)
Each sender will pass 120000 messages of 512 bytes
Running in process mode with 2 groups using 8 file descriptors each (== 16 tasks)
Each sender will pass 120000 messages of 512 bytes
# High-priority PIDs: 512
# Victim PIDs: 16
# Total PIDs being logged: 528
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747649318.353644784,121015,7548,-10,2,55
1747649318.353644784,121015,7550,-10,3,53
1747649318.353644784,121015,7552,-10,4,52
1747649318.353644784,121015,7554,-10,5,51
1747649318.353644784,121015,7556,-10,3,56
1747649318.353644784,121015,7558,-10,3,55
1747649318.353644784,121015,7560,-10,5,53
1747649318.353644784,121015,7562,-10,1,58
1747649318.353644784,121015,7564,-10,3,46
1747649318.353644784,121015,7567,-10,4,45
1747649318.353644784,121015,7569,-10,1,47
1747649318.353644784,121015,7571,-10,3,45
1747649318.353644784,121015,7572,-10,3,46
1747649318.353644784,121015,7573,-10,2,47
1747649318.353644784,121015,7574,-10,3,47
1747649318.353644784,121015,7575,-10,2,49
1747649318.353644784,121015,7576,-10,4,42
1747649318.353644784,121015,7577,-10,2,44
1747649318.353644784,121015,7578,-10,3,42
1747649318.353644784,121015,7579,-10,4,42
1747649318.353644784,121015,7580,-10,2,44
1747649318.353644784,121015,7581,-10,3,43
1747649318.353644784,121015,7582,-10,2,44
1747649318.353644784,121015,7583,-10,1,45
1747649318.353644784,121015,7584,-10,3,43
1747649318.353644784,121015,7585,-10,2,43
1747649318.353644784,121015,7586,-10,2,44
1747649318.353644784,121015,7587,-10,3,42
1747649318.353644784,121015,7588,-10,3,44
1747649318.353644784,121015,7589,-10,3,44
1747649318.353644784,121015,7590,-10,4,43
1747649318.353644784,121015,7591,-10,1,45
1747649318.353644784,121015,7592,-10,1,37
1747649318.353644784,121015,7593,-10,1,37
1747649318.353644784,121015,7594,-10,2,36
1747649318.353644784,121015,7595,-10,3,35
1747649318.353644784,121015,7596,-10,3,37
1747649318.353644784,121015,7597,-10,2,38
1747649318.353644784,121015,7598,-10,2,36
1747649318.353644784,121015,7599,-10,1,38
1747649318.353644784,121015,7600,-10,4,61
1747649318.353644784,121015,7601,-10,5,60
1747649318.353644784,121015,7602,-10,3,62
1747649318.353644784,121015,7603,-10,3,63
1747649318.353644784,121015,7604,-10,3,65
1747649318.353644784,121015,7605,-10,5,63
1747649318.353644784,121015,7606,-10,3,65
1747649318.353644784,121015,7607,-10,3,65
1747649318.353644784,121015,7608,-10,1,36
1747649318.353644784,121015,7609,-10,2,36
1747649318.353644784,121015,7610,-10,1,37
