1747351457 LOGGER STARTED
Sample #1, Timestamp: 1747351457, CPU_Temperature: 48°C, cpu0: 1550000kHz, cpu1: 1550000kHz, cpu10: 3889709kHz, cpu11: 1550000kHz, cpu2: 2583220kHz, cpu3: 2751188kHz, cpu4: 3836969kHz, cpu5: 1536906kHz, cpu6: 3802659kHz, cpu7: 3783010kHz, cpu8: 2514043kHz, cpu9: 3693362kHz, 
Sample #2, Timestamp: 1747351457, CPU_Temperature: 48°C, cpu0: 3667626kHz, cpu1: 3667632kHz, cpu10: 3667342kHz, cpu11: 3667616kHz, cpu2: 3667636kHz, cpu3: 3667267kHz, cpu4: 3667468kHz, cpu5: 3667637kHz, cpu6: 3667634kHz, cpu7: 3667640kHz, cpu8: 3667625kHz, cpu9: 3667144kHz, 
Sample #3, Timestamp: 1747351457, CPU_Temperature: 57°C, cpu0: 3667632kHz, cpu1: 3667627kHz, cpu10: 3667559kHz, cpu11: 3667643kHz, cpu2: 3667640kHz, cpu3: 3666872kHz, cpu4: 3667046kHz, cpu5: 3667635kHz, cpu6: 3667635kHz, cpu7: 3667642kHz, cpu8: 3667631kHz, cpu9: 3667423kHz, 
Sample #4, Timestamp: 1747351458, CPU_Temperature: 58°C, cpu0: 3667637kHz, cpu1: 3667630kHz, cpu10: 3666013kHz, cpu11: 3667633kHz, cpu2: 3667638kHz, cpu3: 3667181kHz, cpu4: 3666295kHz, cpu5: 3667640kHz, cpu6: 3667616kHz, cpu7: 3667621kHz, cpu8: 3667640kHz, cpu9: 3667169kHz, 
Sample #5, Timestamp: 1747351459, CPU_Temperature: 59°C, cpu0: 3667644kHz, cpu1: 3667635kHz, cpu10: 3667247kHz, cpu11: 3667244kHz, cpu2: 3667626kHz, cpu3: 3667096kHz, cpu4: 3665229kHz, cpu5: 3667632kHz, cpu6: 3667632kHz, cpu7: 3667632kHz, cpu8: 3652698kHz, cpu9: 3651165kHz, 
Sample #6, Timestamp: 1747351461, CPU_Temperature: 59°C, cpu0: 3654263kHz, cpu1: 3654660kHz, cpu10: 3649412kHz, cpu11: 3638014kHz, cpu2: 3667630kHz, cpu3: 3641909kHz, cpu4: 3644970kHz, cpu5: 3650435kHz, cpu6: 3635193kHz, cpu7: 3655608kHz, cpu8: 3667661kHz, cpu9: 3651767kHz, 
Sample #7, Timestamp: 1747351463, CPU_Temperature: 60°C, cpu0: 3652362kHz, cpu1: 3639923kHz, cpu10: 3658246kHz, cpu11: 3651702kHz, cpu2: 3647178kHz, cpu3: 3667468kHz, cpu4: 3644250kHz, cpu5: 3652011kHz, cpu6: 3651708kHz, cpu7: 3644930kHz, cpu8: 3667642kHz, cpu9: 3666833kHz, 
Sample #8, Timestamp: 1747351464, CPU_Temperature: 60°C, cpu0: 3647164kHz, cpu1: 3640338kHz, cpu10: 3651982kHz, cpu11: 3643630kHz, cpu2: 3656434kHz, cpu3: 3638806kHz, cpu4: 3647608kHz, cpu5: 3646682kHz, cpu6: 3646342kHz, cpu7: 3644147kHz, cpu8: 3650550kHz, cpu9: 3639203kHz, 
Sample #9, Timestamp: 1747351466, CPU_Temperature: 60°C, cpu0: 3642688kHz, cpu1: 3639661kHz, cpu10: 3658405kHz, cpu11: 3650521kHz, cpu2: 3642681kHz, cpu3: 3642576kHz, cpu4: 3648117kHz, cpu5: 3652440kHz, cpu6: 3667628kHz, cpu7: 3652180kHz, cpu8: 3645619kHz, cpu9: 3642644kHz, 
Sample #10, Timestamp: 1747351467, CPU_Temperature: 60°C, cpu0: 3642674kHz, cpu1: 3638907kHz, cpu10: 3640473kHz, cpu11: 3642130kHz, cpu2: 3652455kHz, cpu3: 3636940kHz, cpu4: 3642187kHz, cpu5: 3667637kHz, cpu6: 3647737kHz, cpu7: 3642691kHz, cpu8: 3639603kHz, cpu9: 3632827kHz, 
Sample #11, Timestamp: 1747351469, CPU_Temperature: 60°C, cpu0: 3642688kHz, cpu1: 3642673kHz, cpu10: 3641529kHz, cpu11: 3667137kHz, cpu2: 3642684kHz, cpu3: 3641641kHz, cpu4: 3641939kHz, cpu5: 3642689kHz, cpu6: 3642673kHz, cpu7: 3639104kHz, cpu8: 3646158kHz, cpu9: 3642125kHz, 
