1747348943 LOGGER STARTED
Sample #1, Timestamp: 1747348943, CPU_Temperature: 49°C, cpu0: 1556859kHz, cpu1: 1550000kHz, cpu10: 1550000kHz, cpu11: 1550000kHz, cpu2: 1550000kHz, cpu3: 3886481kHz, cpu4: 2588417kHz, cpu5: 3897333kHz, cpu6: 1523565kHz, cpu7: 3892926kHz, cpu8: 1556250kHz, cpu9: 3896577kHz, 
Sample #2, Timestamp: 1747348943, CPU_Temperature: 49°C, cpu0: 3842842kHz, cpu1: 3838268kHz, cpu10: 2552254kHz, cpu11: 3837795kHz, cpu2: 1537357kHz, cpu3: 3811579kHz, cpu4: 3767424kHz, cpu5: 3667610kHz, cpu6: 3667612kHz, cpu7: 3667612kHz, cpu8: 3667606kHz, cpu9: 3667621kHz, 
Sample #3, Timestamp: 1747348943, CPU_Temperature: 58°C, cpu0: 3667622kHz, cpu1: 3667614kHz, cpu10: 3667095kHz, cpu11: 3667614kHz, cpu2: 3667624kHz, cpu3: 3667620kHz, cpu4: 3667622kHz, cpu5: 3667621kHz, cpu6: 3667620kHz, cpu7: 3653449kHz, cpu8: 3642667kHz, cpu9: 3642595kHz, 
Sample #4, Timestamp: 1747348945, CPU_Temperature: 60°C, cpu0: 3646443kHz, cpu1: 3642674kHz, cpu10: 3642625kHz, cpu11: 3642126kHz, cpu2: 3642673kHz, cpu3: 3641469kHz, cpu4: 3651190kHz, cpu5: 3642662kHz, cpu6: 3646225kHz, cpu7: 3642670kHz, cpu8: 3642662kHz, cpu9: 3642615kHz, 
Sample #5, Timestamp: 1747348949, CPU_Temperature: 61°C, cpu0: 3642625kHz, cpu1: 3642658kHz, cpu10: 3642659kHz, cpu11: 3642661kHz, cpu2: 3642668kHz, cpu3: 3642569kHz, cpu4: 3642581kHz, cpu5: 3642673kHz, cpu6: 3643750kHz, cpu7: 3656885kHz, cpu8: 3642667kHz, cpu9: 3642572kHz, 
Sample #6, Timestamp: 1747348950, CPU_Temperature: 61°C, cpu0: 3642671kHz, cpu1: 3642666kHz, cpu10: 3656074kHz, cpu11: 3639908kHz, cpu2: 3642658kHz, cpu3: 3642407kHz, cpu4: 3642663kHz, cpu5: 3642675kHz, cpu6: 3642671kHz, cpu7: 3642662kHz, cpu8: 3646157kHz, cpu9: 3642160kHz, 
Sample #7, Timestamp: 1747348954, CPU_Temperature: 61°C, cpu0: 3642677kHz, cpu1: 3642664kHz, cpu10: 3642667kHz, cpu11: 3641524kHz, cpu2: 3642670kHz, cpu3: 3642661kHz, cpu4: 3642526kHz, cpu5: 3642672kHz, cpu6: 3642665kHz, cpu7: 3642658kHz, cpu8: 3642668kHz, cpu9: 3642562kHz, 
Sample #8, Timestamp: 1747348955, CPU_Temperature: 61°C, cpu0: 3642667kHz, cpu1: 3642660kHz, cpu10: 3642669kHz, cpu11: 3642667kHz, cpu2: 3642659kHz, cpu3: 3642004kHz, cpu4: 3642666kHz, cpu5: 3642660kHz, cpu6: 3642659kHz, cpu7: 3642672kHz, cpu8: 3642664kHz, cpu9: 3642661kHz, 
Sample #9, Timestamp: 1747348956, CPU_Temperature: 61°C, cpu0: 3642663kHz, cpu1: 3642654kHz, cpu10: 3642655kHz, cpu11: 3642663kHz, cpu2: 3642668kHz, cpu3: 3642231kHz, cpu4: 3642662kHz, cpu5: 3642659kHz, cpu6: 3642667kHz, cpu7: 3642671kHz, cpu8: 3642673kHz, cpu9: 3642630kHz, 
Sample #10, Timestamp: 1747348957, CPU_Temperature: 61°C, cpu0: 3642673kHz, cpu1: 3642671kHz, cpu10: 3642054kHz, cpu11: 3642662kHz, cpu2: 3642666kHz, cpu3: 3642407kHz, cpu4: 3642665kHz, cpu5: 3641575kHz, cpu6: 3642673kHz, cpu7: 3642662kHz, cpu8: 3642674kHz, cpu9: 3642081kHz, 
Sample #11, Timestamp: 1747348957, CPU_Temperature: 61°C, cpu0: 3642669kHz, cpu1: 3642671kHz, cpu10: 3642568kHz, cpu11: 3642674kHz, cpu2: 3642669kHz, cpu3: 3642665kHz, cpu4: 3642663kHz, cpu5: 3642656kHz, cpu6: 3642672kHz, cpu7: 3642676kHz, cpu8: 3642657kHz, cpu9: 3642603kHz, 
Sample #12, Timestamp: 1747348958, CPU_Temperature: 61°C, cpu0: 3642660kHz, cpu1: 3642664kHz, cpu10: 3642638kHz, cpu11: 3642680kHz, cpu2: 3642672kHz, cpu3: 3642306kHz, cpu4: 3642646kHz, cpu5: 3642668kHz, cpu6: 3642667kHz, cpu7: 3642661kHz, cpu8: 3642662kHz, cpu9: 3642218kHz, 
Sample #13, Timestamp: 1747348959, CPU_Temperature: 61°C, cpu0: 3642660kHz, cpu1: 3642678kHz, cpu10: 3642455kHz, cpu11: 3642667kHz, cpu2: 3642660kHz, cpu3: 3642661kHz, cpu4: 3642670kHz, cpu5: 3642666kHz, cpu6: 3642656kHz, cpu7: 3642671kHz, cpu8: 3642661kHz, cpu9: 3642673kHz, 
Sample #14, Timestamp: 1747348960, CPU_Temperature: 61°C, cpu0: 3642668kHz, cpu1: 3642671kHz, cpu10: 3642670kHz, cpu11: 3642669kHz, cpu2: 3642656kHz, cpu3: 3642325kHz, cpu4: 3642671kHz, cpu5: 3642658kHz, cpu6: 3642674kHz, cpu7: 3642663kHz, cpu8: 3642669kHz, cpu9: 3642008kHz, 
Sample #15, Timestamp: 1747348960, CPU_Temperature: 61°C, cpu0: 3642666kHz, cpu1: 3642672kHz, cpu10: 3642658kHz, cpu11: 3641802kHz, cpu2: 3642669kHz, cpu3: 3642668kHz, cpu4: 3642671kHz, cpu5: 3641415kHz, cpu6: 3642667kHz, cpu7: 3642664kHz, cpu8: 3642660kHz, cpu9: 3642565kHz, 
Sample #16, Timestamp: 1747348961, CPU_Temperature: 62°C, cpu0: 3642655kHz, cpu1: 3642663kHz, cpu10: 3642664kHz, cpu11: 3642660kHz, cpu2: 3642664kHz, cpu3: 3642665kHz, cpu4: 3642553kHz, cpu5: 3642665kHz, cpu6: 3642671kHz, cpu7: 3642658kHz, cpu8: 3642673kHz, cpu9: 3642667kHz, 
Sample #17, Timestamp: 1747348962, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642670kHz, cpu10: 3642629kHz, cpu11: 3642668kHz, cpu2: 3642662kHz, cpu3: 3642428kHz, cpu4: 3642670kHz, cpu5: 3642673kHz, cpu6: 3642668kHz, cpu7: 3642661kHz, cpu8: 3642672kHz, cpu9: 3642579kHz, 
Sample #18, Timestamp: 1747348962, CPU_Temperature: 62°C, cpu0: 3642658kHz, cpu1: 3642681kHz, cpu10: 3642676kHz, cpu11: 3642663kHz, cpu2: 3642671kHz, cpu3: 3642395kHz, cpu4: 3642671kHz, cpu5: 3642663kHz, cpu6: 3642666kHz, cpu7: 3642666kHz, cpu8: 3642666kHz, cpu9: 3642473kHz, 
Sample #19, Timestamp: 1747348963, CPU_Temperature: 62°C, cpu0: 3642677kHz, cpu1: 3642668kHz, cpu10: 3642627kHz, cpu11: 3642662kHz, cpu2: 3642663kHz, cpu3: 3642671kHz, cpu4: 3642670kHz, cpu5: 3642671kHz, cpu6: 3642675kHz, cpu7: 3642660kHz, cpu8: 3642668kHz, cpu9: 3642343kHz, 
Sample #20, Timestamp: 1747348964, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642669kHz, cpu10: 3642633kHz, cpu11: 3642672kHz, cpu2: 3642671kHz, cpu3: 3642669kHz, cpu4: 3642670kHz, cpu5: 3642682kHz, cpu6: 3642666kHz, cpu7: 3642671kHz, cpu8: 3642670kHz, cpu9: 3642663kHz, 
Sample #21, Timestamp: 1747348965, CPU_Temperature: 62°C, cpu0: 3642665kHz, cpu1: 3642676kHz, cpu10: 3642593kHz, cpu11: 3642665kHz, cpu2: 3642668kHz, cpu3: 3642466kHz, cpu4: 3642649kHz, cpu5: 3642675kHz, cpu6: 3642670kHz, cpu7: 3642672kHz, cpu8: 3642675kHz, cpu9: 3642562kHz, 
Sample #22, Timestamp: 1747348966, CPU_Temperature: 62°C, cpu0: 3642666kHz, cpu1: 3642667kHz, cpu10: 3642670kHz, cpu11: 3642673kHz, cpu2: 3642669kHz, cpu3: 3642364kHz, cpu4: 3642439kHz, cpu5: 3642674kHz, cpu6: 3642665kHz, cpu7: 3642676kHz, cpu8: 3642677kHz, cpu9: 3642390kHz, 
Sample #23, Timestamp: 1747348966, CPU_Temperature: 62°C, cpu0: 3642677kHz, cpu1: 3642662kHz, cpu10: 3642584kHz, cpu11: 3642675kHz, cpu2: 3642668kHz, cpu3: 3642148kHz, cpu4: 3642551kHz, cpu5: 3642658kHz, cpu6: 3642658kHz, cpu7: 3642673kHz, cpu8: 3642677kHz, cpu9: 3642015kHz, 
Sample #24, Timestamp: 1747348967, CPU_Temperature: 62°C, cpu0: 3642658kHz, cpu1: 3642661kHz, cpu10: 3642620kHz, cpu11: 3642670kHz, cpu2: 3642676kHz, cpu3: 3642233kHz, cpu4: 3642657kHz, cpu5: 3642663kHz, cpu6: 3642665kHz, cpu7: 3642663kHz, cpu8: 3642655kHz, cpu9: 3642622kHz, 
Sample #25, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642674kHz, cpu1: 3642679kHz, cpu10: 3642637kHz, cpu11: 3642675kHz, cpu2: 3642662kHz, cpu3: 3642584kHz, cpu4: 3642565kHz, cpu5: 3642667kHz, cpu6: 3642661kHz, cpu7: 3642655kHz, cpu8: 3642663kHz, cpu9: 3642571kHz, 
Sample #26, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642670kHz, cpu1: 3642664kHz, cpu10: 3642756kHz, cpu11: 3642671kHz, cpu2: 3642664kHz, cpu3: 3642674kHz, cpu4: 3642624kHz, cpu5: 3642657kHz, cpu6: 3642675kHz, cpu7: 3642669kHz, cpu8: 3642671kHz, cpu9: 3642664kHz, 
Sample #27, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642661kHz, cpu1: 3642658kHz, cpu10: 3642577kHz, cpu11: 3642656kHz, cpu2: 3642677kHz, cpu3: 3642579kHz, cpu4: 3642642kHz, cpu5: 3642671kHz, cpu6: 3642671kHz, cpu7: 3642666kHz, cpu8: 3642663kHz, cpu9: 3642444kHz, 
