=== Scheduler Starvation Test ===
# Logical CPUs: 12
# CLK_TCK: 100

# Starting high-priority load (nice -10)

# Starting victim group (nice 19)
Running in process mode with 24 groups using 8 file descriptors each (== 192 tasks)
Each sender will pass 120000 messages of 512 bytes
Running in process mode with 2 groups using 8 file descriptors each (== 16 tasks)
Each sender will pass 120000 messages of 512 bytes
# High-priority PIDs: 192
# Victim PIDs: 16
# Total PIDs being logged: 208
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747349514.371662240,264072,13954,-10,7,106
1747349514.371662240,264072,13955,-10,3,100
1747349514.371662240,264072,13957,-10,5,92
1747349514.371662240,264072,13959,-10,5,96
1747349514.371662240,264072,13960,-10,5,99
1747349514.371662240,264072,13962,-10,6,99
1747349514.371662240,264072,13964,-10,2,100
1747349514.371662240,264072,13966,-10,4,102
1747349514.371662240,264072,13968,-10,12,91
1747349514.371662240,264072,13970,-10,7,97
1747349514.371662240,264072,13972,-10,9,95
1747349514.371662240,264072,13974,-10,3,99
1747349514.371662240,264072,13976,-10,4,99
1747349514.371662240,264072,13978,-10,7,110
1747349514.371662240,264072,13980,-10,3,98
1747349514.371662240,264072,13983,-10,5,93
1747349514.371662240,264072,13985,-10,8,90
1747349514.371662240,264072,13987,-10,6,95
1747349514.371662240,264072,13988,-10,5,96
1747349514.371662240,264072,13989,-10,7,91
1747349514.371662240,264072,13990,-10,4,91
1747349514.371662240,264072,13991,-10,4,96
1747349514.371662240,264072,13992,-10,3,104
1747349514.371662240,264072,13993,-10,2,98
1747349514.371662240,264072,13994,-10,5,94
1747349514.371662240,264072,13995,-10,7,96
1747349514.371662240,264072,13996,-10,8,89
1747349514.371662240,264072,13997,-10,6,96
1747349514.371662240,264072,13998,-10,4,110
1747349514.371662240,264072,13999,-10,6,103
1747349514.371662240,264072,14000,-10,5,96
1747349514.371662240,264073,14001,-10,5,102
1747349514.371662240,264073,14002,-10,2,88
1747349514.371662240,264073,14003,-10,2,94
1747349514.371662240,264073,14004,-10,6,87
1747349514.371662240,264073,14005,-10,9,95
1747349514.371662240,264073,14006,-10,3,99
1747349514.371662240,264073,14007,-10,7,103
1747349514.371662240,264073,14008,-10,2,94
1747349514.371662240,264073,14009,-10,3,97
1747349514.371662240,264073,14010,-10,10,92
1747349514.371662240,264073,14011,-10,6,95
1747349514.371662240,264073,14012,-10,6,96
1747349514.371662240,264073,14013,-10,5,97
1747349514.371662240,264073,14014,-10,6,98
1747349514.371662240,264073,14015,-10,6,96
1747349514.371662240,264073,14016,-10,6,111
1747349514.371662240,264073,14017,-10,2,103
1747349514.371662240,264073,14018,-10,8,92
1747349514.371662240,264073,14019,-10,5,89
1747349514.371662240,264073,14020,-10,8,95
1747349514.371662240,264073,14021,-10,8,90
1747349514.371662240,264073,14022,-10,3,90
1747349514.371662240,264073,14023,-10,7,100
1747349514.371662240,264073,14024,-10,2,92
1747349514.371662240,264073,14025,-10,3,104
1747349514.371662240,264073,14026,-10,6,97
1747349514.371662240,264073,14027,-10,6,90
1747349514.371662240,264073,14028,-10,4,100
1747349514.371662240,264073,14029,-10,7,98
1747349514.371662240,264073,14030,-10,4,106
1747349514.371662240,264073,14031,-10,5,105
1747349514.371662240,264073,14032,-10,4,107
1747349514.371662240,264073,14033,-10,3,102
1747349514.371662240,264073,14034,-10,5,88
1747349514.371662240,264073,14035,-10,5,85
1747349514.371662240,264073,14036,-10,4,95
1747349514.371662240,264073,14037,-10,6,90
1747349514.371662240,264073,14038,-10,4,107
1747349514.371662240,264073,14039,-10,4,103
1747349514.371662240,264073,14040,-10,5,101
1747349514.371662240,264073,14041,-10,3,99
1747349514.371662240,264073,14042,-10,6,93
1747349514.371662240,264073,14043,-10,10,101
1747349514.371662240,264073,14044,-10,6,89
