Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

23:24:45      UID      TGID       TID   cswch/s nvcswch/s  Command
23:24:46        0        15         -     22.33      0.00  rcu_preempt
23:24:46        0         -        15     22.33      0.00  |__rcu_preempt
23:24:46        0        47         -      0.97      0.00  kworker/6:0-mm_percpu_wq
23:24:46        0         -        47      0.97      0.00  |__kworker/6:0-mm_percpu_wq
23:24:46        0        76         -      2.91      0.00  ksoftirqd/12
23:24:46        0         -        76      2.91      0.00  |__ksoftirqd/12
23:24:46        0       100         -      5.83      0.00  kworker/u32:6-kec
23:24:46        0         -       100      5.83      0.00  |__kworker/u32:6-kec
23:24:46        0       116         -      1.94      0.00  kcompactd0
23:24:46        0         -       116      1.94      0.00  |__kcompactd0
23:24:46        0       118         -      0.97      0.00  kworker/2:1-mm_percpu_wq
23:24:46        0         -       118      0.97      0.00  |__kworker/2:1-mm_percpu_wq
23:24:46        0       124         -      0.97      0.00  kworker/5:1-mm_percpu_wq
23:24:46        0         -       124      0.97      0.00  |__kworker/5:1-mm_percpu_wq
23:24:46        0       126         -      0.97      0.00  kworker/3:1-mm_percpu_wq
23:24:46        0         -       126      0.97      0.00  |__kworker/3:1-mm_percpu_wq
23:24:46        0       128         -      0.97      0.00  kworker/7:1-mm_percpu_wq
23:24:46        0         -       128      0.97      0.00  |__kworker/7:1-mm_percpu_wq
23:24:46        0       130         -      0.97      0.00  kworker/9:1-mm_percpu_wq
23:24:46        0         -       130      0.97      0.00  |__kworker/9:1-mm_percpu_wq
23:24:46        0       132         -      0.97      0.00  kworker/12:1-mm_percpu_wq
23:24:46        0         -       132      0.97      0.00  |__kworker/12:1-mm_percpu_wq
23:24:46        0       133         -      0.97      0.00  kworker/10:1-mm_percpu_wq
