1747351583 LOGGER STARTED
Sample #1, Timestamp: 1747351583, CPU_Temperature: 51°C, cpu0: 2106565kHz, cpu1: 2029856kHz, cpu10: 400000kHz, cpu11: 400000kHz, cpu12: 400000kHz, cpu13: 400000kHz, cpu14: 400000kHz, cpu15: 400000kHz, cpu2: 400430kHz, cpu3: 400331kHz, cpu4: 1363169kHz, cpu5: 400000kHz, cpu6: 4485041kHz, cpu7: 4329906kHz, cpu8: 399698kHz, cpu9: 400000kHz, 
Sample #2, Timestamp: 1747351583, CPU_Temperature: 51°C, cpu0: 3799990kHz, cpu1: 3800009kHz, cpu10: 2899980kHz, cpu11: 2899995kHz, cpu12: 2879979kHz, cpu13: 2879562kHz, cpu14: 2899983kHz, cpu15: 2900006kHz, cpu2: 3800000kHz, cpu3: 3800009kHz, cpu4: 3800009kHz, cpu5: 3800009kHz, cpu6: 3800009kHz, cpu7: 3800000kHz, cpu8: 2900017kHz, cpu9: 2899985kHz, 
Sample #3, Timestamp: 1747351583, CPU_Temperature: 51°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2799985kHz, cpu11: 2800000kHz, cpu12: 2799985kHz, cpu13: 2799993kHz, cpu14: 2800010kHz, cpu15: 2800002kHz, cpu2: 3800009kHz, cpu3: 3800000kHz, cpu4: 3800009kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3800009kHz, cpu8: 2800000kHz, cpu9: 2799990kHz, 
Sample #4, Timestamp: 1747351586, CPU_Temperature: 88°C, cpu0: 3800000kHz, cpu1: 3781364kHz, cpu10: 2861078kHz, cpu11: 2399983kHz, cpu12: 800000kHz, cpu13: 600002kHz, cpu14: 599997kHz, cpu15: 674529kHz, cpu2: 799991kHz, cpu3: 819991kHz, cpu4: 881714kHz, cpu5: 814964kHz, cpu6: 799993kHz, cpu7: 842855kHz, cpu8: 1300002kHz, cpu9: 1299998kHz, 
Sample #5, Timestamp: 1747351588, CPU_Temperature: 62°C, cpu0: 1800000kHz, cpu1: 1799990kHz, cpu10: 1499995kHz, cpu11: 1500011kHz, cpu12: 1499996kHz, cpu13: 1500002kHz, cpu14: 1500007kHz, cpu15: 1500003kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1799995kHz, cpu5: 1799990kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500007kHz, cpu9: 1499998kHz, 
Sample #6, Timestamp: 1747351589, CPU_Temperature: 62°C, cpu0: 1799995kHz, cpu1: 1800004kHz, cpu10: 1499996kHz, cpu11: 1500001kHz, cpu12: 1500007kHz, cpu13: 1500001kHz, cpu14: 1499992kHz, cpu15: 1500012kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1800009kHz, cpu5: 1799990kHz, cpu6: 1800000kHz, cpu7: 1800004kHz, cpu8: 1499994kHz, cpu9: 1499993kHz, 
Sample #7, Timestamp: 1747351589, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1799990kHz, cpu10: 1500005kHz, cpu11: 1500008kHz, cpu12: 1499999kHz, cpu13: 1500003kHz, cpu14: 1500003kHz, cpu15: 1500000kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1799990kHz, cpu5: 1800004kHz, cpu6: 1800004kHz, cpu7: 1800000kHz, cpu8: 1499998kHz, cpu9: 1499997kHz, 
Sample #8, Timestamp: 1747351590, CPU_Temperature: 63°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499993kHz, cpu11: 1500000kHz, cpu12: 1499998kHz, cpu13: 1500008kHz, cpu14: 1499992kHz, cpu15: 1499999kHz, cpu2: 1799995kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1800009kHz, cpu6: 1799995kHz, cpu7: 1800000kHz, cpu8: 1500000kHz, cpu9: 1500009kHz, 
Sample #9, Timestamp: 1747351590, CPU_Temperature: 63°C, cpu0: 1800000kHz, cpu1: 1800004kHz, cpu10: 1500001kHz, cpu11: 1499987kHz, cpu12: 1500015kHz, cpu13: 1500004kHz, cpu14: 1499998kHz, cpu15: 1500002kHz, cpu2: 1800000kHz, cpu3: 1850016kHz, cpu4: 1873856kHz, cpu5: 1842188kHz, cpu6: 1854897kHz, cpu7: 1837978kHz, cpu8: 1499997kHz, cpu9: 1499995kHz, 
Sample #10, Timestamp: 1747351591, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1799990kHz, cpu10: 1499995kHz, cpu11: 1499994kHz, cpu12: 1499997kHz, cpu13: 1500012kHz, cpu14: 1499990kHz, cpu15: 1500000kHz, cpu2: 1800000kHz, cpu3: 1800000kHz, cpu4: 1800004kHz, cpu5: 1799995kHz, cpu6: 1800009kHz, cpu7: 1800004kHz, cpu8: 1500002kHz, cpu9: 1499997kHz, 
Sample #11, Timestamp: 1747351591, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1800000kHz, cpu10: 1500000kHz, cpu11: 1500003kHz, cpu12: 1499997kHz, cpu13: 1500005kHz, cpu14: 1500001kHz, cpu15: 1499996kHz, cpu2: 1800004kHz, cpu3: 1799995kHz, cpu4: 1799995kHz, cpu5: 1800004kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500002kHz, cpu9: 1499990kHz, 
Sample #12, Timestamp: 1747351592, CPU_Temperature: 63°C, cpu0: 1842720kHz, cpu1: 1809513kHz, cpu10: 1500003kHz, cpu11: 1499997kHz, cpu12: 1499994kHz, cpu13: 1500002kHz, cpu14: 1499997kHz, cpu15: 1500001kHz, cpu2: 1799990kHz, cpu3: 1800004kHz, cpu4: 1809940kHz, cpu5: 1820175kHz, cpu6: 1800000kHz, cpu7: 1854091kHz, cpu8: 1499999kHz, cpu9: 1499997kHz, 
Sample #13, Timestamp: 1747351592, CPU_Temperature: 63°C, cpu0: 1814457kHz, cpu1: 1870422kHz, cpu10: 1499995kHz, cpu11: 1500004kHz, cpu12: 1500012kHz, cpu13: 1500002kHz, cpu14: 1499986kHz, cpu15: 1500005kHz, cpu2: 1800004kHz, cpu3: 1800004kHz, cpu4: 1800004kHz, cpu5: 1843602kHz, cpu6: 1800004kHz, cpu7: 1800000kHz, cpu8: 1500004kHz, cpu9: 1499998kHz, 
Sample #14, Timestamp: 1747351592, CPU_Temperature: 63°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499994kHz, cpu11: 1500011kHz, cpu12: 1500005kHz, cpu13: 1500002kHz, cpu14: 1499997kHz, cpu15: 1499997kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1800013kHz, cpu6: 1800004kHz, cpu7: 1799995kHz, cpu8: 1500002kHz, cpu9: 1500005kHz, 
Sample #15, Timestamp: 1747351593, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1799995kHz, cpu10: 1500001kHz, cpu11: 1500005kHz, cpu12: 1500003kHz, cpu13: 1500002kHz, cpu14: 1500006kHz, cpu15: 1500000kHz, cpu2: 1874143kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1834087kHz, cpu6: 1819388kHz, cpu7: 1809658kHz, cpu8: 1499997kHz, cpu9: 1499993kHz, 
Sample #16, Timestamp: 1747351593, CPU_Temperature: 63°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1500000kHz, cpu11: 1499999kHz, cpu12: 1499995kHz, cpu13: 1499998kHz, cpu14: 1499997kHz, cpu15: 1499998kHz, cpu2: 1800009kHz, cpu3: 1808986kHz, cpu4: 1858400kHz, cpu5: 1799995kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1500003kHz, cpu9: 1500001kHz, 
Sample #17, Timestamp: 1747351593, CPU_Temperature: 63°C, cpu0: 1830543kHz, cpu1: 1799995kHz, cpu10: 1500008kHz, cpu11: 1500000kHz, cpu12: 1500010kHz, cpu13: 1499996kHz, cpu14: 1499985kHz, cpu15: 1500008kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1800000kHz, cpu7: 1799990kHz, cpu8: 1500003kHz, cpu9: 1500008kHz, 
Sample #18, Timestamp: 1747351594, CPU_Temperature: 63°C, cpu0: 1806167kHz, cpu1: 1800000kHz, cpu10: 1500003kHz, cpu11: 1499997kHz, cpu12: 1500009kHz, cpu13: 1499998kHz, cpu14: 1499997kHz, cpu15: 1499991kHz, cpu2: 1806901kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1820040kHz, cpu7: 1799990kHz, cpu8: 1499998kHz, cpu9: 1499990kHz, 
Sample #19, Timestamp: 1747351594, CPU_Temperature: 63°C, cpu0: 1817712kHz, cpu1: 1800000kHz, cpu10: 1499997kHz, cpu11: 1499997kHz, cpu12: 1500004kHz, cpu13: 1500009kHz, cpu14: 1500000kHz, cpu15: 1499996kHz, cpu2: 1800004kHz, cpu3: 1864509kHz, cpu4: 1799995kHz, cpu5: 1799995kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1500001kHz, cpu9: 1499988kHz, 
Sample #20, Timestamp: 1747351595, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1800000kHz, cpu10: 1500006kHz, cpu11: 1499992kHz, cpu12: 1500006kHz, cpu13: 1499995kHz, cpu14: 1499994kHz, cpu15: 1500003kHz, cpu2: 1799995kHz, cpu3: 1799995kHz, cpu4: 1800004kHz, cpu5: 1799990kHz, cpu6: 1800000kHz, cpu7: 1799986kHz, cpu8: 1499989kHz, cpu9: 1500004kHz, 
Sample #21, Timestamp: 1747351595, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1800004kHz, cpu10: 1500001kHz, cpu11: 1499994kHz, cpu12: 1499995kHz, cpu13: 1500011kHz, cpu14: 1499999kHz, cpu15: 1500023kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1799995kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500004kHz, cpu9: 1499998kHz, 
Sample #22, Timestamp: 1747351595, CPU_Temperature: 63°C, cpu0: 1799995kHz, cpu1: 1800000kHz, cpu10: 1500013kHz, cpu11: 1500003kHz, cpu12: 1500006kHz, cpu13: 1499997kHz, cpu14: 1500003kHz, cpu15: 1500001kHz, cpu2: 1807559kHz, cpu3: 1866340kHz, cpu4: 1799995kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1499994kHz, cpu9: 1500008kHz, 
Sample #23, Timestamp: 1747351596, CPU_Temperature: 63°C, cpu0: 1799990kHz, cpu1: 1799995kHz, cpu10: 1499993kHz, cpu11: 1500000kHz, cpu12: 1500004kHz, cpu13: 1499994kHz, cpu14: 1499992kHz, cpu15: 1499990kHz, cpu2: 1808417kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1800004kHz, cpu7: 1800000kHz, cpu8: 1499996kHz, cpu9: 1499993kHz, 
Sample #24, Timestamp: 1747351596, CPU_Temperature: 63°C, cpu0: 1799990kHz, cpu1: 1800000kHz, cpu10: 1500010kHz, cpu11: 1499996kHz, cpu12: 1499986kHz, cpu13: 1499990kHz, cpu14: 1500007kHz, cpu15: 1499994kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1807147kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1499993kHz, cpu9: 1499995kHz, 
