Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:12        0        18         -      9.62      0.00  rcu_preempt
22:11:12        0         -        18      9.62      0.00  |__rcu_preempt
22:11:12        0        33         -      1.92      0.00  ksoftirqd/4
22:11:12        0         -        33      1.92      0.00  |__ksoftirqd/4
22:11:12        0        94         -      0.96      0.00  kworker/1:0-events_freezable
22:11:12        0         -        94      0.96      0.00  |__kworker/1:0-events_freezable
22:11:12        0       136         -      1.92      0.00  kcompactd0
22:11:12        0         -       136      1.92      0.00  |__kcompactd0
22:11:12        0       142         -      1.92      0.00  irq/9-acpi
22:11:12        0         -       142      1.92      0.00  |__irq/9-acpi
22:11:12        0       915         -      1.92      0.00  kworker/0:4-events
22:11:12        0         -       915      1.92      0.00  |__kworker/0:4-events
22:11:12        0      1503         -      2.88      0.96  kworker/u64:0+kec
22:11:12        0         -      1503      2.88      0.96  |__kworker/u64:0+kec
22:11:12        0      2802         -      0.96      0.00  kworker/2:5-mm_percpu_wq
22:11:12        0         -      2802      0.96      0.00  |__kworker/2:5-mm_percpu_wq
22:11:12        0      5411         -      0.96      0.00  kworker/11:9-mm_percpu_wq
22:11:12        0         -      5411      0.96      0.00  |__kworker/11:9-mm_percpu_wq
22:11:12        0      5434         -      0.96      0.00  kworker/3:2H+acpi_thermal_pm
22:11:12        0         -      5434      0.96      0.00  |__kworker/3:2H+acpi_thermal_pm
22:11:12        0      5436         -      1.92      0.00  kworker/3:6+kec_query
22:11:12        0         -      5436      1.92      0.00  |__kworker/3:6+kec_query
22:11:12        0      5510         -      0.96      0.00  kworker/9:2-mm_percpu_wq
22:11:12        0         -      5510      0.96      0.00  |__kworker/9:2-mm_percpu_wq
22:11:12        0      9751         -      2.88      0.00  kworker/4:1-events
22:11:12        0         -      9751      2.88      0.00  |__kworker/4:1-events
22:11:12        0      9867         -      0.96      0.96  kworker/3:5-kacpi_notify
22:11:12        0         -      9867      0.96      0.96  |__kworker/3:5-kacpi_notify
