1747347844 LOGGER STARTED
Sample #1, Timestamp: 1747347844, CPU_Temperature: 51°C, cpu0: 640397kHz, cpu1: 439690kHz, cpu10: 795558kHz, cpu11: 788316kHz, cpu12: 644601kHz, cpu13: 786873kHz, cpu14: 780823kHz, cpu15: 3007848kHz, cpu2: 647149kHz, cpu3: 400000kHz, cpu4: 947018kHz, cpu5: 400000kHz, cpu6: 400000kHz, cpu7: 400484kHz, cpu8: 900256kHz, cpu9: 3176490kHz, 
Sample #2, Timestamp: 1747347845, CPU_Temperature: 51°C, cpu0: 3799990kHz, cpu1: 3800000kHz, cpu10: 2899995kHz, cpu11: 2900012kHz, cpu12: 2900021kHz, cpu13: 2900016kHz, cpu14: 2899992kHz, cpu15: 2900010kHz, cpu2: 3800000kHz, cpu3: 3799990kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3800009kHz, cpu8: 2874531kHz, cpu9: 2899642kHz, 
Sample #3, Timestamp: 1747347845, CPU_Temperature: 51°C, cpu0: 3800009kHz, cpu1: 3799990kHz, cpu10: 2877026kHz, cpu11: 2869868kHz, cpu12: 2877040kHz, cpu13: 2877069kHz, cpu14: 2877340kHz, cpu15: 2853896kHz, cpu2: 3800000kHz, cpu3: 3799990kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3800009kHz, cpu7: 3800000kHz, cpu8: 2800006kHz, cpu9: 2800007kHz, 
Sample #4, Timestamp: 1747347845, CPU_Temperature: 51°C, cpu0: 3800000kHz, cpu1: 3799990kHz, cpu10: 2800001kHz, cpu11: 2831125kHz, cpu12: 2799988kHz, cpu13: 2800004kHz, cpu14: 2822278kHz, cpu15: 2824455kHz, cpu2: 3800000kHz, cpu3: 3799990kHz, cpu4: 3799990kHz, cpu5: 3800000kHz, cpu6: 3795462kHz, cpu7: 3795427kHz, cpu8: 2903714kHz, cpu9: 2804151kHz, 
Sample #5, Timestamp: 1747347846, CPU_Temperature: 84°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2800012kHz, cpu11: 2799985kHz, cpu12: 2799999kHz, cpu13: 2799992kHz, cpu14: 2799998kHz, cpu15: 2800020kHz, cpu2: 3800000kHz, cpu3: 3800000kHz, cpu4: 3800009kHz, cpu5: 3800009kHz, cpu6: 3800009kHz, cpu7: 3799990kHz, cpu8: 2799999kHz, cpu9: 2800002kHz, 
Sample #6, Timestamp: 1747347846, CPU_Temperature: 84°C, cpu0: 3800000kHz, cpu1: 3800009kHz, cpu10: 2800004kHz, cpu11: 2800019kHz, cpu12: 2799983kHz, cpu13: 2800007kHz, cpu14: 2799987kHz, cpu15: 2799986kHz, cpu2: 3800000kHz, cpu3: 3800000kHz, cpu4: 3800000kHz, cpu5: 3800009kHz, cpu6: 3799990kHz, cpu7: 3800000kHz, cpu8: 2800000kHz, cpu9: 2799996kHz, 
Sample #7, Timestamp: 1747347847, CPU_Temperature: 84°C, cpu0: 3800009kHz, cpu1: 3800000kHz, cpu10: 2800000kHz, cpu11: 2800010kHz, cpu12: 2799996kHz, cpu13: 2799997kHz, cpu14: 2800014kHz, cpu15: 2800016kHz, cpu2: 3799990kHz, cpu3: 3800000kHz, cpu4: 3799990kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3800000kHz, cpu8: 2799996kHz, cpu9: 2799995kHz, 
Sample #8, Timestamp: 1747347847, CPU_Temperature: 81°C, cpu0: 3100000kHz, cpu1: 2899992kHz, cpu10: 2300018kHz, cpu11: 2284368kHz, cpu12: 2099987kHz, cpu13: 2100011kHz, cpu14: 2000008kHz, cpu15: 1999989kHz, cpu2: 2400000kHz, cpu3: 2300005kHz, cpu4: 2200000kHz, cpu5: 2099989kHz, cpu6: 2100000kHz, cpu7: 2099994kHz, cpu8: 1699995kHz, cpu9: 1700005kHz, 
Sample #9, Timestamp: 1747347848, CPU_Temperature: 81°C, cpu0: 1700000kHz, cpu1: 1700000kHz, cpu10: 1300002kHz, cpu11: 1300010kHz, cpu12: 1299996kHz, cpu13: 1299997kHz, cpu14: 1100000kHz, cpu15: 1099996kHz, cpu2: 1200003kHz, cpu3: 1099997kHz, cpu4: 1075511kHz, cpu5: 1000000kHz, cpu6: 900002kHz, cpu7: 800006kHz, cpu8: 400000kHz, cpu9: 399997kHz, 
Sample #10, Timestamp: 1747347849, CPU_Temperature: 59°C, cpu0: 600002kHz, cpu1: 650188kHz, cpu10: 599998kHz, cpu11: 900002kHz, cpu12: 899991kHz, cpu13: 900002kHz, cpu14: 1000001kHz, cpu15: 1000001kHz, cpu2: 1300000kHz, cpu3: 1300000kHz, cpu4: 1300003kHz, cpu5: 1299993kHz, cpu6: 1300003kHz, cpu7: 1300000kHz, cpu8: 1099996kHz, cpu9: 1099996kHz, 
Sample #11, Timestamp: 1747347851, CPU_Temperature: 61°C, cpu0: 1400000kHz, cpu1: 1499992kHz, cpu10: 1200003kHz, cpu11: 1199986kHz, cpu12: 1200001kHz, cpu13: 1200002kHz, cpu14: 1200002kHz, cpu15: 1200008kHz, cpu2: 1300003kHz, cpu3: 1200006kHz, cpu4: 1200006kHz, cpu5: 1099997kHz, cpu6: 1000000kHz, cpu7: 1000010kHz, cpu8: 799995kHz, cpu9: 799997kHz, 
