1747353482 LOGGER STARTED
Sample #1, Timestamp: 1747353482, CPU_Temperature: 48°C, cpu0: 1554411kHz, cpu1: 3826896kHz, cpu10: 2561497kHz, cpu11: 3842221kHz, cpu2: 3841661kHz, cpu3: 1729876kHz, cpu4: 1550000kHz, cpu5: 1550000kHz, cpu6: 1536924kHz, cpu7: 3840834kHz, cpu8: 3536377kHz, cpu9: 3777511kHz, 
Sample #2, Timestamp: 1747353482, CPU_Temperature: 48°C, cpu0: 2789568kHz, cpu1: 1550000kHz, cpu10: 3888977kHz, cpu11: 2597062kHz, cpu2: 1550000kHz, cpu3: 3885019kHz, cpu4: 3892198kHz, cpu5: 2594648kHz, cpu6: 1418810kHz, cpu7: 3890971kHz, cpu8: 2224732kHz, cpu9: 3892070kHz, 
Sample #3, Timestamp: 1747353483, CPU_Temperature: 48°C, cpu0: 3667634kHz, cpu1: 3667633kHz, cpu10: 3667542kHz, cpu11: 3667641kHz, cpu2: 3667629kHz, cpu3: 3667631kHz, cpu4: 3667063kHz, cpu5: 3666362kHz, cpu6: 3667636kHz, cpu7: 3667633kHz, cpu8: 3667634kHz, cpu9: 3667147kHz, 
Sample #4, Timestamp: 1747353483, CPU_Temperature: 57°C, cpu0: 3667628kHz, cpu1: 3667637kHz, cpu10: 3667625kHz, cpu11: 3667634kHz, cpu2: 3667647kHz, cpu3: 3667516kHz, cpu4: 3666020kHz, cpu5: 3667645kHz, cpu6: 3667631kHz, cpu7: 3667620kHz, cpu8: 3667632kHz, cpu9: 3667387kHz, 
Sample #5, Timestamp: 1747353484, CPU_Temperature: 58°C, cpu0: 3667637kHz, cpu1: 3667627kHz, cpu10: 3665920kHz, cpu11: 3667615kHz, cpu2: 3667488kHz, cpu3: 3667228kHz, cpu4: 3666210kHz, cpu5: 3667638kHz, cpu6: 3667626kHz, cpu7: 3667630kHz, cpu8: 3667625kHz, cpu9: 3667413kHz, 
Sample #6, Timestamp: 1747353485, CPU_Temperature: 59°C, cpu0: 3667631kHz, cpu1: 3667636kHz, cpu10: 3666570kHz, cpu11: 3667627kHz, cpu2: 3667637kHz, cpu3: 3667042kHz, cpu4: 3667015kHz, cpu5: 3667627kHz, cpu6: 3667634kHz, cpu7: 3667619kHz, cpu8: 3667632kHz, cpu9: 3666730kHz, 
Sample #7, Timestamp: 1747353487, CPU_Temperature: 59°C, cpu0: 3651791kHz, cpu1: 3667645kHz, cpu10: 3666146kHz, cpu11: 3667629kHz, cpu2: 3651998kHz, cpu3: 3649595kHz, cpu4: 3644523kHz, cpu5: 3657571kHz, cpu6: 3667629kHz, cpu7: 3667639kHz, cpu8: 3644894kHz, cpu9: 3650187kHz, 
Sample #8, Timestamp: 1747353489, CPU_Temperature: 59°C, cpu0: 3667627kHz, cpu1: 3667623kHz, cpu10: 3650756kHz, cpu11: 3642679kHz, cpu2: 3650193kHz, cpu3: 3654685kHz, cpu4: 3645266kHz, cpu5: 3665575kHz, cpu6: 3667629kHz, cpu7: 3648180kHz, cpu8: 3667634kHz, cpu9: 3658714kHz, 
Sample #9, Timestamp: 1747353490, CPU_Temperature: 59°C, cpu0: 3642676kHz, cpu1: 3640379kHz, cpu10: 3652844kHz, cpu11: 3636269kHz, cpu2: 3657165kHz, cpu3: 3647050kHz, cpu4: 3645470kHz, cpu5: 3648311kHz, cpu6: 3667632kHz, cpu7: 3642669kHz, cpu8: 3642679kHz, cpu9: 3667197kHz, 
Sample #10, Timestamp: 1747353492, CPU_Temperature: 60°C, cpu0: 3667631kHz, cpu1: 3653040kHz, cpu10: 3665281kHz, cpu11: 3645758kHz, cpu2: 3662706kHz, cpu3: 3647122kHz, cpu4: 3642126kHz, cpu5: 3644679kHz, cpu6: 3650242kHz, cpu7: 3652671kHz, cpu8: 3657913kHz, cpu9: 3645858kHz, 
Sample #11, Timestamp: 1747353494, CPU_Temperature: 60°C, cpu0: 3642689kHz, cpu1: 3667627kHz, cpu10: 3642209kHz, cpu11: 3661484kHz, cpu2: 3643979kHz, cpu3: 3643187kHz, cpu4: 3640949kHz, cpu5: 3641661kHz, cpu6: 3658240kHz, cpu7: 3656124kHz, cpu8: 3642670kHz, cpu9: 3642114kHz, 
Sample #12, Timestamp: 1747353495, CPU_Temperature: 60°C, cpu0: 3637469kHz, cpu1: 3646141kHz, cpu10: 3641787kHz, cpu11: 3646675kHz, cpu2: 3639345kHz, cpu3: 3641701kHz, cpu4: 3650846kHz, cpu5: 3652573kHz, cpu6: 3647141kHz, cpu7: 3662129kHz, cpu8: 3651754kHz, cpu9: 3643652kHz, 
Sample #13, Timestamp: 1747353497, CPU_Temperature: 60°C, cpu0: 3642684kHz, cpu1: 3642679kHz, cpu10: 3650344kHz, cpu11: 3642669kHz, cpu2: 3653207kHz, cpu3: 3642684kHz, cpu4: 3641419kHz, cpu5: 3642686kHz, cpu6: 3642689kHz, cpu7: 3642696kHz, cpu8: 3642688kHz, cpu9: 3642900kHz, 
Sample #14, Timestamp: 1747353498, CPU_Temperature: 60°C, cpu0: 3647095kHz, cpu1: 3655877kHz, cpu10: 3641659kHz, cpu11: 3640646kHz, cpu2: 3642678kHz, cpu3: 3642076kHz, cpu4: 3649148kHz, cpu5: 3642692kHz, cpu6: 3642076kHz, cpu7: 3640332kHz, cpu8: 3642678kHz, cpu9: 3642190kHz, 
Sample #15, Timestamp: 1747353500, CPU_Temperature: 60°C, cpu0: 3642686kHz, cpu1: 3642704kHz, cpu10: 3643253kHz, cpu11: 3642683kHz, cpu2: 3641129kHz, cpu3: 3642618kHz, cpu4: 3648197kHz, cpu5: 3643021kHz, cpu6: 3645169kHz, cpu7: 3642677kHz, cpu8: 3647177kHz, cpu9: 3642693kHz, 
Sample #16, Timestamp: 1747353501, CPU_Temperature: 60°C, cpu0: 3642687kHz, cpu1: 3642678kHz, cpu10: 3641951kHz, cpu11: 3642684kHz, cpu2: 3642673kHz, cpu3: 3653498kHz, cpu4: 3641854kHz, cpu5: 3644655kHz, cpu6: 3642678kHz, cpu7: 3642688kHz, cpu8: 3642690kHz, cpu9: 3642210kHz, 
Sample #17, Timestamp: 1747353503, CPU_Temperature: 60°C, cpu0: 3645733kHz, cpu1: 3641750kHz, cpu10: 3641245kHz, cpu11: 3642683kHz, cpu2: 3642679kHz, cpu3: 3642418kHz, cpu4: 3640775kHz, cpu5: 3642693kHz, cpu6: 3656646kHz, cpu7: 3657008kHz, cpu8: 3642691kHz, cpu9: 3641751kHz, 
Sample #18, Timestamp: 1747353504, CPU_Temperature: 60°C, cpu0: 3642678kHz, cpu1: 3642694kHz, cpu10: 3642684kHz, cpu11: 3647431kHz, cpu2: 3642689kHz, cpu3: 3641049kHz, cpu4: 3642084kHz, cpu5: 3642696kHz, cpu6: 3651483kHz, cpu7: 3642673kHz, cpu8: 3642669kHz, cpu9: 3644899kHz, 
Sample #19, Timestamp: 1747353506, CPU_Temperature: 60°C, cpu0: 3642673kHz, cpu1: 3642683kHz, cpu10: 3642254kHz, cpu11: 3642675kHz, cpu2: 3642679kHz, cpu3: 3641758kHz, cpu4: 3642263kHz, cpu5: 3642693kHz, cpu6: 3642679kHz, cpu7: 3642688kHz, cpu8: 3642680kHz, cpu9: 3641960kHz, 
Sample #20, Timestamp: 1747353508, CPU_Temperature: 60°C, cpu0: 3642685kHz, cpu1: 3642688kHz, cpu10: 3642260kHz, cpu11: 3642687kHz, cpu2: 3642686kHz, cpu3: 3642651kHz, cpu4: 3649589kHz, cpu5: 3642684kHz, cpu6: 3642678kHz, cpu7: 3642680kHz, cpu8: 3642673kHz, cpu9: 3641854kHz, 
Sample #21, Timestamp: 1747353509, CPU_Temperature: 61°C, cpu0: 3641223kHz, cpu1: 3640070kHz, cpu10: 3642121kHz, cpu11: 3642690kHz, cpu2: 3642696kHz, cpu3: 3642568kHz, cpu4: 3641258kHz, cpu5: 3642691kHz, cpu6: 3642665kHz, cpu7: 3642667kHz, cpu8: 3642678kHz, cpu9: 3642487kHz, 
Sample #22, Timestamp: 1747353511, CPU_Temperature: 61°C, cpu0: 3642681kHz, cpu1: 3642665kHz, cpu10: 3642652kHz, cpu11: 3642676kHz, cpu2: 3642689kHz, cpu3: 3640066kHz, cpu4: 3641974kHz, cpu5: 3642689kHz, cpu6: 3642682kHz, cpu7: 3642658kHz, cpu8: 3642686kHz, cpu9: 3642394kHz, 
Sample #23, Timestamp: 1747353512, CPU_Temperature: 61°C, cpu0: 3642684kHz, cpu1: 3642677kHz, cpu10: 3642595kHz, cpu11: 3638939kHz, cpu2: 3642685kHz, cpu3: 3641617kHz, cpu4: 3641867kHz, cpu5: 3641742kHz, cpu6: 3642674kHz, cpu7: 3642660kHz, cpu8: 3642675kHz, cpu9: 3642288kHz, 
Sample #24, Timestamp: 1747353514, CPU_Temperature: 61°C, cpu0: 3642690kHz, cpu1: 3642692kHz, cpu10: 3641976kHz, cpu11: 3642693kHz, cpu2: 3642678kHz, cpu3: 3641327kHz, cpu4: 3642327kHz, cpu5: 3642671kHz, cpu6: 3642685kHz, cpu7: 3642688kHz, cpu8: 3642669kHz, cpu9: 3642567kHz, 
