1748101845 LOGGER STARTED
Sample #1, Timestamp: 1748101845, CPU_Temperature: 47°C, cpu0: 550000kHz, cpu1: 4847566kHz, cpu10: 3830254kHz, cpu11: 3815303kHz, cpu12: 4773614kHz, cpu13: 4790458kHz, cpu14: 3857021kHz, cpu15: 3851314kHz, cpu16: 3870885kHz, cpu17: 3858344kHz, cpu18: 550000kHz, cpu19: 550000kHz, cpu2: 3844383kHz, cpu20: 550000kHz, cpu21: 550000kHz, cpu22: 4527621kHz, cpu23: 3849167kHz, cpu24: 3859606kHz, cpu25: 4090975kHz, cpu26: 3850334kHz, cpu27: 4252114kHz, cpu28: 3851281kHz, cpu29: 3811618kHz, cpu3: 3858862kHz, cpu30: 3957332kHz, cpu31: 3871975kHz, cpu4: 4391036kHz, cpu5: 3873404kHz, cpu6: 3869086kHz, cpu7: 3848259kHz, cpu8: 3820323kHz, cpu9: 4799033kHz, 
Sample #2, Timestamp: 1748101845, CPU_Temperature: 47°C, cpu0: 4487803kHz, cpu1: 4466668kHz, cpu10: 4447817kHz, cpu11: 4465711kHz, cpu12: 4440814kHz, cpu13: 4416764kHz, cpu14: 4410373kHz, cpu15: 4409729kHz, cpu16: 4409720kHz, cpu17: 4391104kHz, cpu18: 4391094kHz, cpu19: 4386703kHz, cpu2: 4386707kHz, cpu20: 4409879kHz, cpu21: 4391822kHz, cpu22: 4391817kHz, cpu23: 4411337kHz, cpu24: 4466442kHz, cpu25: 4415795kHz, cpu26: 4398103kHz, cpu27: 4398095kHz, cpu28: 4404098kHz, cpu29: 4553207kHz, cpu3: 4391800kHz, cpu30: 4397936kHz, cpu31: 4397568kHz, cpu4: 4403744kHz, cpu5: 4386638kHz, cpu6: 4366854kHz, cpu7: 4360501kHz, cpu8: 4379926kHz, cpu9: 4372311kHz, 
Sample #3, Timestamp: 1748101846, CPU_Temperature: 49°C, cpu0: 4372924kHz, cpu1: 4358173kHz, cpu10: 4374577kHz, cpu11: 4444067kHz, cpu12: 4391028kHz, cpu13: 4389041kHz, cpu14: 4351226kHz, cpu15: 4347611kHz, cpu16: 4348034kHz, cpu17: 4329128kHz, cpu18: 4299530kHz, cpu19: 4310541kHz, cpu2: 4379163kHz, cpu20: 4371097kHz, cpu21: 4438650kHz, cpu22: 4397254kHz, cpu23: 4432387kHz, cpu24: 4469139kHz, cpu25: 4516007kHz, cpu26: 4355339kHz, cpu27: 4361579kHz, cpu28: 4342657kHz, cpu29: 4330015kHz, cpu3: 4323633kHz, cpu30: 4354143kHz, cpu31: 4341987kHz, cpu4: 4348014kHz, cpu5: 4348012kHz, cpu6: 4348001kHz, cpu7: 4341897kHz, cpu8: 4354082kHz, cpu9: 4335504kHz, 
Sample #4, Timestamp: 1748101846, CPU_Temperature: 54°C, cpu0: 4364538kHz, cpu1: 4345636kHz, cpu10: 4350565kHz, cpu11: 4386290kHz, cpu12: 4341908kHz, cpu13: 4332365kHz, cpu14: 4354259kHz, cpu15: 4332546kHz, cpu16: 4363989kHz, cpu17: 4340933kHz, cpu18: 4344276kHz, cpu19: 4331822kHz, cpu2: 4331689kHz, cpu20: 4316951kHz, cpu21: 4341898kHz, cpu22: 4367035kHz, cpu23: 4362445kHz, cpu24: 4354212kHz, cpu25: 4316952kHz, cpu26: 4354176kHz, cpu27: 4329250kHz, cpu28: 4361831kHz, cpu29: 4371794kHz, cpu3: 4366850kHz, cpu30: 4366858kHz, cpu31: 4361404kHz, cpu4: 4455887kHz, cpu5: 4354260kHz, cpu6: 4366844kHz, cpu7: 4348463kHz, cpu8: 4341915kHz, cpu9: 4360815kHz, 
Sample #5, Timestamp: 1748101847, CPU_Temperature: 56°C, cpu0: 4359207kHz, cpu1: 4324654kHz, cpu10: 4333921kHz, cpu11: 4296361kHz, cpu12: 4306671kHz, cpu13: 4341905kHz, cpu14: 4294129kHz, cpu15: 4306831kHz, cpu16: 4325641kHz, cpu17: 4320453kHz, cpu18: 4332098kHz, cpu19: 4319791kHz, cpu2: 4397555kHz, cpu20: 4310580kHz, cpu21: 4316948kHz, cpu22: 4316952kHz, cpu23: 4319510kHz, cpu24: 4310522kHz, cpu25: 4310620kHz, cpu26: 4434670kHz, cpu27: 4339907kHz, cpu28: 4352509kHz, cpu29: 4291999kHz, cpu3: 4288734kHz, cpu30: 4318310kHz, cpu31: 4321879kHz, cpu4: 4292000kHz, cpu5: 4316955kHz, cpu6: 4359686kHz, cpu7: 4316963kHz, cpu8: 4325474kHz, cpu9: 4340793kHz, 
Sample #6, Timestamp: 1748101847, CPU_Temperature: 58°C, cpu0: 4312795kHz, cpu1: 4337938kHz, cpu10: 4291996kHz, cpu11: 4338516kHz, cpu12: 4334021kHz, cpu13: 4330970kHz, cpu14: 4313099kHz, cpu15: 4341189kHz, cpu16: 4316954kHz, cpu17: 4341903kHz, cpu18: 4314448kHz, cpu19: 4306784kHz, cpu2: 4320669kHz, cpu20: 4331981kHz, cpu21: 4336204kHz, cpu22: 4316955kHz, cpu23: 4338919kHz, cpu24: 4335531kHz, cpu25: 4447015kHz, cpu26: 4338638kHz, cpu27: 4338948kHz, cpu28: 4332845kHz, cpu29: 4342847kHz, cpu3: 4316949kHz, cpu30: 4329227kHz, cpu31: 4323031kHz, cpu4: 4323079kHz, cpu5: 4323056kHz, cpu6: 4329318kHz, cpu7: 4363130kHz, cpu8: 4340114kHz, cpu9: 4344816kHz, 
Sample #7, Timestamp: 1748101848, CPU_Temperature: 59°C, cpu0: 4304508kHz, cpu1: 4310606kHz, cpu10: 4304658kHz, cpu11: 4311052kHz, cpu12: 4291368kHz, cpu13: 4335135kHz, cpu14: 4297563kHz, cpu15: 4327834kHz, cpu16: 4316036kHz, cpu17: 4315928kHz, cpu18: 4323091kHz, cpu19: 4316949kHz, cpu2: 4285572kHz, cpu20: 4296710kHz, cpu21: 4316946kHz, cpu22: 4291995kHz, cpu23: 4321299kHz, cpu24: 4353718kHz, cpu25: 4333394kHz, cpu26: 4341909kHz, cpu27: 4387895kHz, cpu28: 4365358kHz, cpu29: 4310563kHz, cpu3: 4338126kHz, cpu30: 4329348kHz, cpu31: 4338532kHz, cpu4: 4316953kHz, cpu5: 4338761kHz, cpu6: 4368055kHz, cpu7: 4329301kHz, cpu8: 4431865kHz, cpu9: 4333959kHz, 
Sample #8, Timestamp: 1748101848, CPU_Temperature: 60°C, cpu0: 4348737kHz, cpu1: 4303685kHz, cpu10: 4335026kHz, cpu11: 4298631kHz, cpu12: 4316950kHz, cpu13: 4429054kHz, cpu14: 4298210kHz, cpu15: 4329344kHz, cpu16: 4317516kHz, cpu17: 4303933kHz, cpu18: 4316949kHz, cpu19: 4316951kHz, cpu2: 4335548kHz, cpu20: 4311634kHz, cpu21: 4293008kHz, cpu22: 4324356kHz, cpu23: 4329299kHz, cpu24: 4299701kHz, cpu25: 4299830kHz, cpu26: 4323051kHz, cpu27: 4308819kHz, cpu28: 4277211kHz, cpu29: 4306600kHz, cpu3: 4304310kHz, cpu30: 4335586kHz, cpu31: 4300720kHz, cpu4: 4292006kHz, cpu5: 4301662kHz, cpu6: 4316941kHz, cpu7: 4310547kHz, cpu8: 4307589kHz, cpu9: 4442036kHz, 
Sample #9, Timestamp: 1748101849, CPU_Temperature: 61°C, cpu0: 4296648kHz, cpu1: 4316961kHz, cpu10: 4336882kHz, cpu11: 4349066kHz, cpu12: 4328232kHz, cpu13: 4334464kHz, cpu14: 4316947kHz, cpu15: 4316940kHz, cpu16: 4316956kHz, cpu17: 4316945kHz, cpu18: 4322487kHz, cpu19: 4316938kHz, cpu2: 4323484kHz, cpu20: 4316735kHz, cpu21: 4335558kHz, cpu22: 4323043kHz, cpu23: 4298327kHz, cpu24: 4329054kHz, cpu25: 4328919kHz, cpu26: 4329306kHz, cpu27: 4327982kHz, cpu28: 4336783kHz, cpu29: 4463079kHz, cpu3: 4330321kHz, cpu30: 4311781kHz, cpu31: 4304388kHz, cpu4: 4291992kHz, cpu5: 4326253kHz, cpu6: 4333875kHz, cpu7: 4310578kHz, cpu8: 4291983kHz, cpu9: 4298087kHz, 
Sample #10, Timestamp: 1748101849, CPU_Temperature: 61°C, cpu0: 4316947kHz, cpu1: 4328009kHz, cpu10: 4437961kHz, cpu11: 4412346kHz, cpu12: 4316959kHz, cpu13: 4323045kHz, cpu14: 4316952kHz, cpu15: 4306185kHz, cpu16: 4298092kHz, cpu17: 4310522kHz, cpu18: 4305691kHz, cpu19: 4290739kHz, cpu2: 4299187kHz, cpu20: 4383423kHz, cpu21: 4317651kHz, cpu22: 4310006kHz, cpu23: 4328856kHz, cpu24: 4341336kHz, cpu25: 4323321kHz, cpu26: 4310788kHz, cpu27: 4316946kHz, cpu28: 4335751kHz, cpu29: 4310372kHz, cpu3: 4272848kHz, cpu30: 4286181kHz, cpu31: 4335551kHz, cpu4: 4323046kHz, cpu5: 4298072kHz, cpu6: 4310608kHz, cpu7: 4323072kHz, cpu8: 4292003kHz, cpu9: 4280840kHz, 
Sample #11, Timestamp: 1748101849, CPU_Temperature: 61°C, cpu0: 4344827kHz, cpu1: 4316955kHz, cpu10: 4323703kHz, cpu11: 4300805kHz, cpu12: 4329310kHz, cpu13: 4356522kHz, cpu14: 4304326kHz, cpu15: 4318929kHz, cpu16: 4337607kHz, cpu17: 4366855kHz, cpu18: 4308727kHz, cpu19: 4340273kHz, cpu2: 4309230kHz, cpu20: 4306739kHz, cpu21: 4335605kHz, cpu22: 4399366kHz, cpu23: 4336949kHz, cpu24: 4316198kHz, cpu25: 4328978kHz, cpu26: 4317115kHz, cpu27: 4323185kHz, cpu28: 4323023kHz, cpu29: 4316945kHz, cpu3: 4298500kHz, cpu30: 4278697kHz, cpu31: 4329299kHz, cpu4: 4309780kHz, cpu5: 4335574kHz, cpu6: 4305555kHz, cpu7: 4291994kHz, cpu8: 4329277kHz, cpu9: 4305880kHz, 
