Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM     0        17         -    119.51      0.00  rcu_preempt
10:09:09 PM     0         -        17    119.51      0.00  |__rcu_preempt
10:09:09 PM     0        56         -      0.81      0.00  ksoftirqd/6
10:09:09 PM     0         -        56      0.81      0.00  |__ksoftirqd/6
10:09:09 PM     0        62         -      0.81      0.00  ksoftirqd/7
10:09:09 PM     0         -        62      0.81      0.00  |__ksoftirqd/7
10:09:09 PM     0        73         -      0.81      0.00  migration/9
10:09:09 PM     0         -        73      0.81      0.00  |__migration/9
10:09:09 PM     0        80         -      4.88      0.00  ksoftirqd/10
10:09:09 PM     0         -        80      4.88      0.00  |__ksoftirqd/10
10:09:09 PM     0       103         -      0.81      0.00  migration/14
10:09:09 PM     0         -       103      0.81      0.00  |__migration/14
10:09:09 PM     0       109         -      0.81      0.00  migration/15
10:09:09 PM     0         -       109      0.81      0.00  |__migration/15
10:09:09 PM     0       116         -      9.76      0.00  ksoftirqd/16
10:09:09 PM     0         -       116      9.76      0.00  |__ksoftirqd/16
10:09:09 PM     0       123         -      0.81      0.00  ksoftirqd/17
10:09:09 PM     0         -       123      0.81      0.00  |__ksoftirqd/17
10:09:09 PM     0       153         -      0.81      0.00  ksoftirqd/22
10:09:09 PM     0         -       153      0.81      0.00  |__ksoftirqd/22
10:09:09 PM     0       165         -      0.81      0.00  ksoftirqd/24
10:09:09 PM     0         -       165      0.81      0.00  |__ksoftirqd/24
10:09:09 PM     0       195         -      0.81      0.00  ksoftirqd/29
10:09:09 PM     0         -       195      0.81      0.00  |__ksoftirqd/29
10:09:09 PM     0       207         -      0.81      0.00  ksoftirqd/31
10:09:09 PM     0         -       207      0.81      0.00  |__ksoftirqd/31
10:09:09 PM     0       252         -      1.63      0.00  kcompactd0
10:09:09 PM     0         -       252      1.63      0.00  |__kcompactd0
10:09:09 PM     0       273         -      0.81      0.00  kworker/12:1-mm_percpu_wq
10:09:09 PM     0         -       273      0.81      0.00  |__kworker/12:1-mm_percpu_wq
10:09:09 PM     0       371         -      0.81      0.00  kworker/15:1-mm_percpu_wq
10:09:09 PM     0         -       371      0.81      0.00  |__kworker/15:1-mm_percpu_wq
10:09:09 PM     0       500         -      0.81      0.00  kworker/27:1-mm_percpu_wq
10:09:09 PM     0         -       500      0.81      0.00  |__kworker/27:1-mm_percpu_wq
10:09:09 PM     0       502         -      1.63      0.00  kworker/9:1-events
10:09:09 PM     0         -       502      1.63      0.00  |__kworker/9:1-events
10:09:09 PM     0       507         -      1.63      0.00  kworker/7:1-mm_percpu_wq
