Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
0,43,2.7366204375,1.912111375
1,83,3.79999975,2.800000875
2,86,3.7999985625,2.8000008750000003
3,88,3.800001,2.800008
4,88,3.773931625,2.799997
5,88,3.73871725,2.800001875
6,88,3.684634875,2.8000035
7,89,3.699997375,2.791384375
8,89,3.678894625,2.7973
9,92,3.69046525,2.7880983125
10,94,3.684896125,2.571804375
11,72,1.750627,1.41796325
12,71,1.7595865,1.430625125
13,70,1.7748243124999998,1.44718525
14,69,1.75927175,1.4610304375
15,69,1.7594161875,1.44703225
16,69,1.7663309583333333,1.468806
17,68,1.7654921875,1.4627694375
18,67,1.782288625,1.471859375
19,67,1.79977425,1.5000004375
20,67,1.800000875,1.4999985416666666
21,67,1.8000003125,1.49999875
22,66.33333333333333,1.8050872083333334,1.49999825
23,66.66666666666667,1.8248485833333334,1.5000006666666668
24,67,1.8569755833333332,1.49999975
25,66.75,1.87234371875,1.4999986562499998
26,66.75,1.9551560625,1.5999996875
27,69,0.967136625,0.662065025
28,59,0.6681168333333334,0.4328122291666667
29,58,0.6230945208333333,0.4261031875
30,57,0.6277983333333333,0.4251873333333333
31,57,0.6731977916666667,0.4245966666666667
32,56,0.6813791041666667,0.4179307916666667
33,55,0.67756825,0.421387475
34,54.166666666666664,0.6439976458333333,0.41952527083333335
35,54,0.6637043333333333,0.4277505833333333
36,53.166666666666664,0.6176665416666667,0.42625620833333333
37,53,0.6808098541666667,0.4393961875
38,53,0.6205670624999999,0.43581677083333337
39,52.2,0.652759475,0.430238875
40,51.333333333333336,0.6347072916666667,0.4046990416666667
41,51.666666666666664,0.6616871458333333,0.42220225
42,50.666666666666664,0.6476036458333333,0.4290964583333333
43,50.666666666666664,0.6758126666666666,0.4266633125
44,51,0.63545825,0.4280654
45,51,0.672745625,0.4309274166666667
46,50.5,0.6483553958333333,0.4252255833333333
47,50,0.6478740416666667,0.4
48,50,0.6679767083333333,0.4048857291666667
49,50,0.6784388125,0.4
50,49.5,0.6542660416666667,0.4
51,49,0.68045535,0.4
52,48.666666666666664,0.6226446875,0.4
53,48.333333333333336,0.6333600833333333,0.4
54,48.333333333333336,0.6564208333333333,0.4
55,47.2,0.63353265,0.411866125
56,47.833333333333336,0.6489695625,0.4289515
57,47,0.6594892916666667,0.4212434375
58,47,0.603822775,0.42896855
59,48,0.5805738958333333,0.42532464583333335
60,46,0.6484909791666666,0.434544625
61,46,0.6600308333333333,0.4303715416666667
62,47,0.67062525,0.43232215
63,46.166666666666664,0.6352307083333333,0.4351589375
64,46,0.6262653125,0.42674129166666663
65,46,0.6568280625,0.42790289583333335
66,46,0.662134675,0.429092025
67,46,0.6282291458333333,0.4281131458333333
68,45.333333333333336,0.6388610416666667,0.4287945833333333
69,45.666666666666664,0.6693738333333333,0.4278391458333333
70,46,0.6521944749999999,0.429522275
71,45.5,0.6098246041666666,0.42875704166666667
72,45,0.6328251041666667,0.4322639583333333
73,45.4,0.65332605,0.44181770000000004
74,45.666666666666664,0.6288923541666667,0.42577085416666666
75,45,0.6324948333333333,0.4
76,45,0.65038105,0.4
77,45,0.6580115833333333,0.41279468750000003
78,45,0.59840675,0.434318375
79,44,0.6213292916666666,0.42584925
80,45,0.6300450833333333,0.429700625
81,45,0.5721541,0.429441125
82,45,0.6265359375,0.42362954166666666
83,44.2,0.60923465,0.420023075
84,44,0.6435802291666667,0.4
85,44,0.5906329,0.4
86,44.5,0.6176139166666667,0.42787433333333336
87,45,1.593125275,1.034487225
88,80,3.800003125,2.80000125
90,86,3.79999375,2.799996875
91,89,3.7758725,2.800002875
92,89,3.70495575,2.79956475
93,89,2.822841375,2.465109875
96,67,1.7713499375000001,1.46543425
97,66.33333333333333,1.777352125,1.4699961666666665
98,65,1.756985875,1.46146275
99,64.5,1.7769365000000001,1.486724625
100,64,1.78602625,1.481970125
101,65,1.7803401666666667,1.4848502916666666
102,64,1.7999993125,1.500001625
103,66,1.798218125,1.4939766875
104,66,1.7903310625,1.4863735
105,65,1.787229875,1.4745700625
106,64.5,1.807319375,1.49999975
107,64.66666666666667,1.8289089166666666,1.4999991666666666
108,63.666666666666664,1.8304125416666668,1.4999992500000001
109,63,1.8446868125,1.49999975
110,64,1.8209995625,1.5000010625
111,65,1.8340074375,1.500000625
112,66,1.8281069166666666,1.500000625
113,65,1.8253005,1.499999125
114,64,1.8297845,1.4999983125
115,63,1.84787825,1.4999979374999999
116,63.666666666666664,1.8572587083333334,1.5000003333333334
117,64,1.8907801874999999,1.5000005625
118,64,1.954034375,1.5666660000000001
119,66,2.000000875,1.5999976249999999
120,61.42857142857143,1.529202142857143,0.8842666785714285
121,57.142857142857146,1.3202644107142858,0.7553076071428572
122,56.42857142857143,1.0950659285714286,0.6149288571428572
123,56.42857142857143,1.2626332142857142,0.749837375
124,55,1.1520811071428572,0.6520304464285714
125,55,1.2897423214285715,0.7022968571428572
126,54.857142857142854,1.051115125,0.6413341428571429
127,54.142857142857146,1.087583,0.5893411071428571
128,55,1.1731079107142857,0.6012215178571428
129,53,1.2741014464285714,0.6177583214285715
130,53,1.1718498035714286,0.6227813392857142
131,51.285714285714285,1.1411597142857142,0.5866970357142858
132,51,1.1682057321428572,0.6691437857142857
133,51,1.2028861071428572,0.6215562321428572
134,51,1.052452857142857,0.6722912142857143
135,51,1.250961125,0.6135259642857143
136,50.285714285714285,1.1849142142857143,0.5625361607142857
137,50,1.2529046964285715,0.5671158392857143
138,50,1.1790949464285716,0.6317415714285715
139,50,1.2822961785714286,0.6898456071428571
140,50,1.200574982142857,0.6490807142857142
141,50,1.2708379285714286,0.6995132678571429
142,49.857142857142854,1.3129637142857142,0.6621212142857144
143,49,1.1409230178571428,0.6261478571428571
144,49,1.1933756666666668,0.5717281875
145,49,1.131999953125,0.60209559375
146,49,1.1879928928571428,0.5404160357142858
147,48.285714285714285,1.1461255178571428,0.5734495892857143
148,48.666666666666664,1.1564017500000001,0.7064914583333334
149,49,1.2535651964285714,0.6060203571428571
150,49,1.2615906607142857,0.7135971071428572
151,48.42857142857143,1.23962975,0.6152108392857143
152,47,1.1311533392857143,0.7111160714285715
153,47,1.0381470892857143,0.637782375
154,46.857142857142854,1.113308517857143,0.604762125
155,46.142857142857146,1.2663230892857142,0.5971057321428571
156,47,1.0705573214285715,0.5696198035714286
157,46,1.1438018125,0.5830167083333333
158,46.857142857142854,1.2244211071428572,0.6236851964285715
159,46.285714285714285,1.1909820714285715,0.6660135714285714
160,46,1.3037100535714286,0.5861575357142857
