Sample #1, Timestamp: 1747088898, CPU_Temperature: 46°C, cpu0: 3856277kHz, cpu1: 2600000kHz, cpu10: 3368586kHz, cpu11: 400000kHz, cpu12: 400000kHz, cpu13: 400000kHz, cpu14: 400000kHz, cpu15: 400053kHz, cpu2: 3851868kHz, cpu3: 3986596kHz, cpu4: 3105684kHz, cpu5: 3836410kHz, cpu6: 400000kHz, cpu7: 3918152kHz, cpu8: 404110kHz, cpu9: 400174kHz, 
Sample #2, Timestamp: 1747088899, CPU_Temperature: 46°C, cpu0: 3799990kHz, cpu1: 3800009kHz, cpu10: 2899995kHz, cpu11: 2899983kHz, cpu12: 2899988kHz, cpu13: 2899879kHz, cpu14: 2900012kHz, cpu15: 2899990kHz, cpu2: 3800000kHz, cpu3: 3800000kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3800019kHz, cpu7: 3800000kHz, cpu8: 2799981kHz, cpu9: 2799981kHz, 
Sample #3, Timestamp: 1747088901, CPU_Temperature: 86°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2799980kHz, cpu11: 2800014kHz, cpu12: 2800019kHz, cpu13: 2800004kHz, cpu14: 2799998kHz, cpu15: 2800020kHz, cpu2: 3799990kHz, cpu3: 3800000kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3799990kHz, cpu8: 2799994kHz, cpu9: 2799993kHz, 
Sample #4, Timestamp: 1747088901, CPU_Temperature: 86°C, cpu0: 3799990kHz, cpu1: 3799990kHz, cpu10: 2800004kHz, cpu11: 2800006kHz, cpu12: 2800003kHz, cpu13: 2800011kHz, cpu14: 2799985kHz, cpu15: 2800022kHz, cpu2: 3799990kHz, cpu3: 3718799kHz, cpu4: 3700000kHz, cpu5: 3699990kHz, cpu6: 3706168kHz, cpu7: 3769452kHz, cpu8: 2800008kHz, cpu9: 2799998kHz, 
Sample #5, Timestamp: 1747088903, CPU_Temperature: 88°C, cpu0: 3643895kHz, cpu1: 3700000kHz, cpu10: 2800008kHz, cpu11: 2800002kHz, cpu12: 2799981kHz, cpu13: 2800006kHz, cpu14: 2800021kHz, cpu15: 2755078kHz, cpu2: 3700000kHz, cpu3: 3700000kHz, cpu4: 3666740kHz, cpu5: 3666740kHz, cpu6: 3623524kHz, cpu7: 3623521kHz, cpu8: 2800013kHz, cpu9: 2799978kHz, 
Sample #6, Timestamp: 1747088904, CPU_Temperature: 88°C, cpu0: 3699990kHz, cpu1: 3673625kHz, cpu10: 2799990kHz, cpu11: 2799982kHz, cpu12: 2800015kHz, cpu13: 2799985kHz, cpu14: 2746350kHz, cpu15: 2800021kHz, cpu2: 3700000kHz, cpu3: 3679697kHz, cpu4: 3699990kHz, cpu5: 3648874kHz, cpu6: 3700000kHz, cpu7: 3632900kHz, cpu8: 2749713kHz, cpu9: 2770475kHz, 
Sample #7, Timestamp: 1747088904, CPU_Temperature: 89°C, cpu0: 3700000kHz, cpu1: 3700000kHz, cpu10: 2753487kHz, cpu11: 2704867kHz, cpu12: 2800016kHz, cpu13: 2754706kHz, cpu14: 2799996kHz, cpu15: 2800000kHz, cpu2: 3631277kHz, cpu3: 3654347kHz, cpu4: 3605066kHz, cpu5: 3690887kHz, cpu6: 3608166kHz, cpu7: 3608176kHz, cpu8: 2800010kHz, cpu9: 2799978kHz, 
Sample #8, Timestamp: 1747088905, CPU_Temperature: 89°C, cpu0: 3699990kHz, cpu1: 3680507kHz, cpu10: 2800001kHz, cpu11: 2799986kHz, cpu12: 2728044kHz, cpu13: 2767507kHz, cpu14: 2757079kHz, cpu15: 2757093kHz, cpu2: 3700000kHz, cpu3: 3700009kHz, cpu4: 3623269kHz, cpu5: 3623256kHz, cpu6: 3648045kHz, cpu7: 3400000kHz, cpu8: 2599998kHz, cpu9: 2599994kHz, 
Sample #9, Timestamp: 1747088906, CPU_Temperature: 89°C, cpu0: 1799995kHz, cpu1: 1757801kHz, cpu10: 1491379kHz, cpu11: 1399995kHz, cpu12: 1458317kHz, cpu13: 1399997kHz, cpu14: 1499994kHz, cpu15: 1433767kHz, cpu2: 1782332kHz, cpu3: 1700004kHz, cpu4: 1733029kHz, cpu5: 1733135kHz, cpu6: 1766557kHz, cpu7: 1800004kHz, cpu8: 1446575kHz, cpu9: 1400001kHz, 
Sample #10, Timestamp: 1747088907, CPU_Temperature: 67°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1500002kHz, cpu11: 1453415kHz, cpu12: 1499991kHz, cpu13: 1500000kHz, cpu14: 1499997kHz, cpu15: 1500007kHz, cpu2: 1800000kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1800004kHz, cpu7: 1741184kHz, cpu8: 1500001kHz, cpu9: 1449490kHz, 
Sample #11, Timestamp: 1747088907, CPU_Temperature: 66°C, cpu0: 1799995kHz, cpu1: 1783150kHz, cpu10: 1500002kHz, cpu11: 1499998kHz, cpu12: 1432034kHz, cpu13: 1492700kHz, cpu14: 1400005kHz, cpu15: 1399993kHz, cpu2: 1767512kHz, cpu3: 1731590kHz, cpu4: 1800000kHz, cpu5: 1799995kHz, cpu6: 1766097kHz, cpu7: 1800004kHz, cpu8: 1419980kHz, cpu9: 1420198kHz, 
