1747100305 LOGGER STARTED
Sample #1, Timestamp: 1747100305, CPU_Temperature: 50°C, cpu0: 3707714kHz, cpu1: 3434351kHz, cpu10: 400000kHz, cpu11: 400000kHz, cpu12: 400000kHz, cpu13: 400000kHz, cpu14: 400000kHz, cpu15: 400000kHz, cpu2: 2912370kHz, cpu3: 3800000kHz, cpu4: 400000kHz, cpu5: 399873kHz, cpu6: 400194kHz, cpu7: 400000kHz, cpu8: 399856kHz, cpu9: 417414kHz, 
Sample #2, Timestamp: 1747100305, CPU_Temperature: 50°C, cpu0: 3800000kHz, cpu1: 3800009kHz, cpu10: 2899978kHz, cpu11: 2899980kHz, cpu12: 2877630kHz, cpu13: 2900093kHz, cpu14: 2900008kHz, cpu15: 2899992kHz, cpu2: 3800009kHz, cpu3: 3800009kHz, cpu4: 3800000kHz, cpu5: 3799990kHz, cpu6: 3800009kHz, cpu7: 3800000kHz, cpu8: 2881556kHz, cpu9: 2851122kHz, 
Sample #3, Timestamp: 1747100306, CPU_Temperature: 83°C, cpu0: 3799990kHz, cpu1: 3800000kHz, cpu10: 2799987kHz, cpu11: 2799994kHz, cpu12: 2799994kHz, cpu13: 2800011kHz, cpu14: 2799997kHz, cpu15: 2799992kHz, cpu2: 3800000kHz, cpu3: 3799990kHz, cpu4: 3799990kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3800000kHz, cpu8: 2800007kHz, cpu9: 2800001kHz, 
Sample #4, Timestamp: 1747100308, CPU_Temperature: 86°C, cpu0: 3799990kHz, cpu1: 3800000kHz, cpu10: 2799975kHz, cpu11: 2799988kHz, cpu12: 2799983kHz, cpu13: 2800003kHz, cpu14: 2799993kHz, cpu15: 2799990kHz, cpu2: 3800009kHz, cpu3: 3800000kHz, cpu4: 3799990kHz, cpu5: 3700000kHz, cpu6: 3699990kHz, cpu7: 3756932kHz, cpu8: 2799989kHz, cpu9: 2799988kHz, 
Sample #5, Timestamp: 1747100310, CPU_Temperature: 88°C, cpu0: 3700000kHz, cpu1: 3700000kHz, cpu10: 2800011kHz, cpu11: 2799984kHz, cpu12: 2800015kHz, cpu13: 2799995kHz, cpu14: 2800011kHz, cpu15: 2800015kHz, cpu2: 3704989kHz, cpu3: 3763314kHz, cpu4: 3700000kHz, cpu5: 3700000kHz, cpu6: 3699990kHz, cpu7: 3699990kHz, cpu8: 2799998kHz, cpu9: 2799991kHz, 
Sample #6, Timestamp: 1747100311, CPU_Temperature: 79°C, cpu0: 2199994kHz, cpu1: 2199994kHz, cpu10: 1699997kHz, cpu11: 1700001kHz, cpu12: 1599999kHz, cpu13: 1599997kHz, cpu14: 1599997kHz, cpu15: 1499993kHz, cpu2: 1699995kHz, cpu3: 1700004kHz, cpu4: 1700004kHz, cpu5: 1699991kHz, cpu6: 1770073kHz, cpu7: 1700004kHz, cpu8: 1399992kHz, cpu9: 1418644kHz, 
Sample #7, Timestamp: 1747100312, CPU_Temperature: 67°C, cpu0: 1749575kHz, cpu1: 1699995kHz, cpu10: 1400000kHz, cpu11: 1430055kHz, cpu12: 1419755kHz, cpu13: 1419207kHz, cpu14: 1400000kHz, cpu15: 1399998kHz, cpu2: 1749371kHz, cpu3: 1700004kHz, cpu4: 1700000kHz, cpu5: 1748281kHz, cpu6: 1732097kHz, cpu7: 1747993kHz, cpu8: 1399975kHz, cpu9: 1399999kHz, 
Sample #8, Timestamp: 1747100313, CPU_Temperature: 67°C, cpu0: 1773175kHz, cpu1: 1800000kHz, cpu10: 1434649kHz, cpu11: 1447452kHz, cpu12: 1419437kHz, cpu13: 1399992kHz, cpu14: 1410385kHz, cpu15: 1495543kHz, cpu2: 1699995kHz, cpu3: 1754870kHz, cpu4: 1780765kHz, cpu5: 1800000kHz, cpu6: 1774317kHz, cpu7: 1699995kHz, cpu8: 1423235kHz, cpu9: 1471376kHz, 
Sample #9, Timestamp: 1747100313, CPU_Temperature: 66°C, cpu0: 1778340kHz, cpu1: 1800000kHz, cpu10: 1424878kHz, cpu11: 1500003kHz, cpu12: 1448383kHz, cpu13: 1457170kHz, cpu14: 1400007kHz, cpu15: 1399994kHz, cpu2: 1699995kHz, cpu3: 1699991kHz, cpu4: 1774635kHz, cpu5: 1791988kHz, cpu6: 1800004kHz, cpu7: 1799995kHz, cpu8: 1499996kHz, cpu9: 1438117kHz, 
Sample #10, Timestamp: 1747100314, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1800000kHz, cpu10: 1443552kHz, cpu11: 1499994kHz, cpu12: 1400006kHz, cpu13: 1400007kHz, cpu14: 1400003kHz, cpu15: 1420749kHz, cpu2: 1700004kHz, cpu3: 1703929kHz, cpu4: 1779662kHz, cpu5: 1800004kHz, cpu6: 1799995kHz, cpu7: 1750514kHz, cpu8: 1499997kHz, cpu9: 1417256kHz, 
Sample #11, Timestamp: 1747100314, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1723321kHz, cpu10: 1499986kHz, cpu11: 1421908kHz, cpu12: 1499998kHz, cpu13: 1445702kHz, cpu14: 1499986kHz, cpu15: 1430600kHz, cpu2: 1700088kHz, cpu3: 1699991kHz, cpu4: 1800004kHz, cpu5: 1800004kHz, cpu6: 1800004kHz, cpu7: 1723896kHz, cpu8: 1500007kHz, cpu9: 1449303kHz, 
Sample #12, Timestamp: 1747100315, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1795029kHz, cpu10: 1399997kHz, cpu11: 1399987kHz, cpu12: 1422581kHz, cpu13: 1500005kHz, cpu14: 1448547kHz, cpu15: 1400005kHz, cpu2: 1800013kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1749377kHz, cpu7: 1797329kHz, cpu8: 1499997kHz, cpu9: 1399994kHz, 
Sample #13, Timestamp: 1747100315, CPU_Temperature: 66°C, cpu0: 1754987kHz, cpu1: 1799995kHz, cpu10: 1492589kHz, cpu11: 1400004kHz, cpu12: 1408471kHz, cpu13: 1500009kHz, cpu14: 1400012kHz, cpu15: 1400003kHz, cpu2: 1800000kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1799995kHz, cpu6: 1800004kHz, cpu7: 1799995kHz, cpu8: 1422649kHz, cpu9: 1399990kHz, 
Sample #14, Timestamp: 1747100316, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1748976kHz, cpu10: 1471289kHz, cpu11: 1499996kHz, cpu12: 1399997kHz, cpu13: 1400008kHz, cpu14: 1500001kHz, cpu15: 1499995kHz, cpu2: 1799990kHz, cpu3: 1700000kHz, cpu4: 1799995kHz, cpu5: 1792983kHz, cpu6: 1775170kHz, cpu7: 1799995kHz, cpu8: 1476840kHz, cpu9: 1499995kHz, 
